Date,Open,High,Low,Close,Adjusted_close,Volume
2022-12-23,3.75,3.79,3.74,3.74,3.74,2167
2022-12-27,3.79,3.79,3.74,3.79,3.79,3272
2022-12-28,3.71,3.78,3.69,3.78,3.78,16480
2022-12-29,3.79,3.79,3.78,3.78,3.78,2155
2022-12-30,3.78,3.83,3.76,3.8,3.8,33075
2023-01-02,3.82,3.83,3.81,3.82,3.82,6638
2023-01-03,3.83,3.83,3.82,3.83,3.83,4340
2023-01-04,3.83,3.83,3.77,3.83,3.83,9217
2023-01-05,3.83,3.84,3.77,3.83,3.83,6496
2023-01-09,3.81,3.88,3.8,3.88,3.88,7998
2023-01-10,3.87,3.88,3.83,3.86,3.86,4510
2023-01-11,3.88,3.88,3.81,3.83,3.83,3200
2023-01-12,3.84,3.84,3.81,3.81,3.81,3168
2023-01-13,3.84,3.85,3.81,3.85,3.85,7310
2023-01-16,3.85,3.85,3.8,3.8,3.8,15233
2023-01-17,3.85,3.85,3.8,3.83,3.83,3480
2023-01-18,3.84,3.84,3.79,3.81,3.81,4256
2023-01-19,3.83,3.83,3.81,3.81,3.81,2650
2023-01-20,3.85,3.85,3.78,3.81,3.81,7039
2023-01-23,3.81,3.84,3.76,3.83,3.83,2212
2023-01-24,3.83,3.86,3.82,3.82,3.82,4640
2023-01-25,3.83,3.87,3.82,3.86,3.86,6050
2023-01-26,3.87,3.9,3.87,3.9,3.9,8408
2023-01-27,3.9,3.9,3.8,3.8,3.8,22861
2023-01-30,3.85,3.88,3.83,3.88,3.88,3781
2023-01-31,3.88,3.88,3.81,3.81,3.81,7513
2023-02-01,3.86,3.86,3.78,3.86,3.86,9633
2023-02-02,3.87,3.88,3.82,3.88,3.88,6643
2023-02-03,3.88,3.88,3.81,3.87,3.87,4854
2023-02-06,3.86,3.86,3.82,3.85,3.85,1883
2023-02-07,3.82,3.84,3.81,3.81,3.81,2870
2023-02-08,3.85,3.85,3.8,3.8,3.8,3262
2023-02-09,3.85,3.85,3.82,3.85,3.85,3553
2023-02-10,3.86,3.86,3.8,3.8,3.8,2824
2023-02-13,3.85,3.87,3.81,3.86,3.86,7212
2023-02-14,3.86,3.86,3.82,3.82,3.82,333
2023-02-15,3.85,3.86,3.85,3.86,3.86,456
2023-02-16,3.81,3.86,3.81,3.83,3.83,4246
2023-02-17,3.85,3.86,3.81,3.85,3.85,2334
2023-02-20,3.86,3.86,3.81,3.84,3.84,6076
2023-02-21,3.86,3.86,3.85,3.86,3.86,9914
2023-02-22,3.86,3.86,3.81,3.83,3.83,1650
2023-02-23,3.84,3.84,3.84,3.84,3.84,420
2023-02-24,3.87,3.87,3.83,3.86,3.86,2200
2023-02-27,3.87,3.89,3.86,3.89,3.89,19389
2023-02-28,3.89,3.99,3.87,3.93,3.93,18772
2023-03-01,3.95,3.99,3.91,3.99,3.99,3034
2023-03-02,3.99,4.08,3.91,3.99,3.99,14016
2023-03-03,3.98,4.05,3.98,4.01,4.01,2604
2023-03-06,4.05,4.08,4.0,4.05,4.05,9982
2023-03-07,4.07,4.07,3.94,3.94,3.94,3566
2023-03-08,3.98,4.08,3.98,4.08,4.08,5540
2023-03-09,4.0,4.1,3.95,4.04,4.04,5329
2023-03-10,4.06,4.06,3.98,4.02,4.02,2708
2023-03-13,4.06,4.06,3.92,3.96,3.96,6361
2023-03-14,4.0,4.0,4.0,4.0,4.0,158
2023-03-15,4.0,4.0,3.9,3.94,3.94,3049
2023-03-16,3.96,3.96,3.87,3.9,3.9,8309
2023-03-17,3.95,3.95,3.9,3.9,3.9,2671
2023-03-20,3.9,3.94,3.87,3.9,3.9,4155
2023-03-21,3.92,3.95,3.9,3.9,3.9,1852
2023-03-22,3.95,3.95,3.88,3.95,3.95,459
2023-03-23,3.95,3.95,3.92,3.94,3.94,2300
2023-03-24,3.94,3.94,3.84,3.85,3.85,19137
2023-03-27,3.84,3.89,3.84,3.87,3.87,2733
2023-03-28,3.89,3.93,3.87,3.9,3.9,10141
2023-03-29,3.9,3.9,3.83,3.83,3.83,21230
2023-03-30,3.84,3.84,3.8,3.82,3.82,36548
2023-03-31,3.82,3.84,3.79,3.83,3.83,7083
2023-04-03,3.83,3.86,3.8,3.82,3.82,4263
2023-04-04,3.82,3.85,3.8,3.82,3.82,3436
2023-04-05,3.84,3.84,3.8,3.8,3.8,3667
2023-04-06,3.81,3.81,3.78,3.78,3.78,14456
2023-04-11,3.78,3.85,3.78,3.85,3.85,7253
2023-04-12,3.83,3.83,3.78,3.82,3.82,4082
2023-04-13,3.82,3.82,3.75,3.82,3.82,13093
2023-04-14,3.82,3.89,3.78,3.89,3.89,8949
2023-04-17,3.9,3.91,3.85,3.85,3.85,9010
2023-04-18,3.85,3.85,3.82,3.85,3.85,5001
