Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-18,6.5,6.626,6.5,6.576,6.576,2987427
2022-11-21,6.58,6.6,6.43,6.536,6.536,2276624
2022-11-22,6.528,6.78,6.528,6.732,6.732,3285718
2022-11-23,6.75,6.77,6.566,6.608,6.608,3660673
2022-11-24,6.67,6.87,6.608,6.81,6.81,2708327
2022-11-25,6.8,6.952,6.7,6.88,6.88,3826285
2022-11-28,6.88,6.89,6.742,6.816,6.816,3005279
2022-11-29,6.85,7.004,6.76,6.922,6.922,5196390
2022-11-30,6.81,6.876,6.32,6.32,6.32,74219415
2022-12-01,6.448,6.518,6.312,6.45,6.45,7716222
2022-12-02,6.45,6.45,6.256,6.29,6.29,3391130
2022-12-05,6.3,6.38,6.228,6.32,6.32,3450752
2022-12-06,6.33,6.358,6.198,6.282,6.282,3951526
2022-12-07,6.25,6.292,6.156,6.27,6.27,2799356
2022-12-08,6.298,6.298,6.218,6.262,6.262,2178464
2022-12-09,6.292,6.292,6.12,6.138,6.138,1919000
2022-12-12,6.22,6.222,6.1,6.19,6.19,1977056
2022-12-13,6.25,6.368,6.12,6.3,6.3,2513617
2022-12-14,6.314,6.354,6.206,6.316,6.316,2916191
2022-12-15,6.36,6.43,6.25,6.28,6.28,2490793
2022-12-16,6.27,6.3,6.17,6.17,6.17,6344088
2022-12-19,6.2,6.32,6.19,6.224,6.224,1533176
2022-12-20,6.224,6.44,6.178,6.414,6.414,2274150
2022-12-21,6.362,6.46,6.328,6.33,6.33,1393263
2022-12-22,6.334,6.398,6.274,6.35,6.35,807330
2022-12-23,6.3,6.454,6.3,6.454,6.454,753947
2022-12-27,6.462,6.462,6.4,6.432,6.432,589741
2022-12-28,6.36,6.446,6.36,6.424,6.424,538527
2022-12-29,6.49,6.598,6.44,6.598,6.598,1116358
2022-12-30,6.598,6.66,6.56,6.626,6.626,874738
2023-01-02,6.664,6.726,6.64,6.712,6.712,492837
2023-01-03,6.7,6.744,6.598,6.68,6.68,1985139
2023-01-04,6.69,6.79,6.632,6.76,6.76,1134075
2023-01-05,6.794,6.928,6.758,6.878,6.878,2124120
2023-01-09,6.91,7.05,6.878,7.05,7.05,2427530
2023-01-10,7.05,7.126,6.968,7.08,7.08,1794976
2023-01-11,7.05,7.1,6.908,6.938,6.938,1756812
2023-01-12,6.95,7.048,6.876,6.95,6.95,2362334
2023-01-13,7.038,7.038,6.844,6.89,6.89,1071809
2023-01-16,6.91,7.058,6.868,7.004,7.004,1218954
2023-01-17,6.998,7.026,6.95,6.976,6.976,685493
2023-01-18,7.0,7.068,6.846,6.89,6.89,2340906
2023-01-19,6.89,6.934,6.772,6.888,6.888,1431675
2023-01-20,6.998,6.998,6.886,6.91,6.91,1324263
2023-01-23,7.0,7.028,6.928,7.012,7.012,748058
2023-01-24,7.02,7.092,6.856,6.926,6.926,1333774
2023-01-25,6.986,6.99,6.844,6.91,6.91,715636
2023-01-26,6.98,7.04,6.92,6.998,6.998,822844
2023-01-27,7.042,7.12,6.988,7.094,7.094,1276601
2023-01-30,7.05,7.05,6.874,6.94,6.94,1393220
2023-01-31,6.93,7.046,6.902,6.98,6.98,3137001
2023-02-01,7.0,7.08,6.9,6.9,6.9,1519003
2023-02-02,7.038,7.068,6.926,6.972,6.972,2417768
2023-02-03,7.048,7.048,6.884,6.912,6.912,831210
2023-02-06,6.964,6.982,6.746,6.782,6.782,1003295
2023-02-07,6.822,6.916,6.766,6.824,6.824,1557062
2023-02-08,6.844,6.878,6.784,6.8,6.8,959400
2023-02-09,6.84,6.84,6.7,6.792,6.792,1543728
2023-02-10,6.828,6.88,6.71,6.86,6.86,2485404
2023-02-13,6.87,6.88,6.706,6.75,6.75,991410
2023-02-14,6.8,6.9,6.72,6.83,6.83,1519913
2023-02-15,6.88,6.9,6.83,6.878,6.878,885338
2023-02-16,6.912,7.04,6.91,7.01,7.01,2664104
2023-02-17,7.03,7.044,6.926,7.01,7.01,1432558
2023-02-20,7.0,7.032,6.948,6.974,6.974,697866
2023-02-21,7.0,7.0,6.82,6.858,6.858,909419
2023-02-22,6.896,6.966,6.786,6.946,6.946,2284806
2023-02-23,6.99,6.99,6.812,6.902,6.902,1252380
2023-02-24,6.872,6.918,6.774,6.792,6.792,717411
2023-02-27,6.792,6.822,6.73,6.736,6.736,871073
2023-02-28,6.73,6.768,6.644,6.724,6.724,2745308
2023-03-01,6.75,6.892,6.7,6.844,6.844,2847822
2023-03-02,6.83,6.83,6.682,6.75,6.75,1186645
2023-03-03,6.79,6.79,6.72,6.776,6.776,486724
2023-03-06,6.82,6.884,6.75,6.872,6.872,1129216
2023-03-07,6.89,6.898,6.788,6.82,6.82,1226868
2023-03-08,6.822,6.962,6.822,6.936,6.936,1159130
2023-03-09,6.97,6.98,6.852,6.96,6.96,811386
2023-03-10,6.84,6.898,6.752,6.784,6.784,1447403
2023-03-13,6.868,6.868,6.518,6.56,6.56,1374769
2023-03-14,6.692,6.692,6.43,6.44,6.44,1553992
2023-03-15,6.524,6.56,6.372,6.422,6.422,1195746
2023-03-16,6.478,6.52,6.346,6.508,6.508,2542542
2023-03-17,6.53,6.584,6.41,6.45,6.45,2896038
2023-03-20,6.49,6.542,6.366,6.5,6.5,1110431
2023-03-21,6.462,6.64,6.454,6.614,6.614,1165177
2023-03-22,6.61,6.736,6.562,6.71,6.71,1490029
2023-03-23,6.74,6.882,6.688,6.832,6.832,1864369
2023-03-24,6.8,6.88,6.706,6.758,6.758,1537988
2023-03-27,6.85,6.86,6.692,6.726,6.726,619785
2023-03-28,6.69,6.744,6.55,6.55,6.55,939447
2023-03-29,6.63,6.63,6.508,6.59,6.59,751104
2023-03-30,6.6,6.686,6.49,6.666,6.666,2061821
2023-03-31,6.7,6.826,6.612,6.826,6.826,1663472
2023-04-03,6.844,6.91,6.802,6.848,6.848,1213299
2023-04-04,6.852,6.866,6.73,6.838,6.838,457758
2023-04-05,6.816,7.042,6.812,7.022,7.022,1913835
2023-04-06,7.05,7.086,6.926,7.022,7.022,1264706
2023-04-07,7.022,7.022,7.022,7.022,7.022,0
2023-04-10,7.022,7.022,7.022,7.022,7.022,0
2023-04-11,7.09,7.09,6.91,6.97,6.97,1415523
2023-04-12,6.95,7.06,6.914,7.044,7.044,1471400
2023-04-13,7.072,7.176,6.974,7.15,7.15,2929353
2023-04-14,7.15,7.248,7.144,7.18,7.18,1056110
2023-04-17,7.18,7.23,7.16,7.23,7.23,1428273
2023-04-18,7.238,7.338,7.18,7.288,7.288,1174696
2023-04-19,7.25,7.396,7.208,7.38,7.38,1083336
2023-04-20,7.35,7.456,7.336,7.358,7.358,1405470
2023-04-21,7.286,7.32,7.066,7.14,7.14,1267784
2023-04-24,7.166,7.25,7.11,7.192,7.192,908677
2023-04-25,7.19,7.208,7.052,7.1,7.1,1430894
2023-04-26,7.13,7.2,7.054,7.12,7.12,1349850
2023-04-27,7.2,7.236,7.072,7.22,7.22,1039240
2023-04-28,7.25,7.288,7.178,7.248,7.248,1522937
2023-05-01,7.248,7.248,7.248,7.248,7.248,0
2023-05-02,7.286,7.452,7.248,7.41,7.41,1685096
2023-05-03,7.41,7.41,7.41,7.41,7.41,0
2023-05-04,7.438,7.512,7.336,7.416,7.416,1501760
2023-05-05,7.464,7.602,7.448,7.53,7.53,2463467
2023-05-08,7.59,7.66,7.526,7.62,7.62,910386
2023-05-09,7.55,7.598,7.508,7.58,7.58,1256467
2023-05-10,7.516,7.602,7.42,7.444,7.444,2244485
2023-05-11,7.518,7.534,7.416,7.48,7.48,1123255
2023-05-12,7.52,7.606,7.466,7.6,7.6,1404637
2023-05-15,7.608,7.638,7.442,7.518,7.518,803452
2023-05-16,7.5,7.628,7.466,7.584,7.584,819969
2023-05-17,7.55,7.566,7.332,7.382,7.382,926722
2023-05-18,7.496,7.496,7.264,7.348,7.348,1274225
2023-05-19,7.4,7.472,7.268,7.422,7.422,1442059
2023-05-22,7.43,7.5,7.378,7.43,7.43,846287
2023-05-23,7.45,7.524,7.44,7.504,7.504,459856
2023-05-24,7.54,7.54,7.264,7.35,7.35,1147044
2023-05-25,7.36,7.36,7.142,7.212,7.212,853472
2023-05-26,7.132,7.262,7.104,7.224,7.224,1018127
2023-05-29,7.188,7.33,7.188,7.266,7.266,190908
2023-05-30,7.266,7.322,7.216,7.31,7.31,1129564
2023-05-31,7.254,7.296,7.15,7.22,7.22,3375617
2023-06-01,7.22,7.302,7.15,7.254,7.254,925515
2023-06-02,7.34,7.372,7.23,7.27,7.27,1288149
2023-06-05,7.378,7.52,7.292,7.438,7.438,1193243
2023-06-06,7.32,7.68,7.32,7.64,7.64,2156150
2023-06-07,7.636,7.636,7.384,7.402,7.402,1384552
2023-06-08,7.402,7.402,7.402,7.402,7.402,0
2023-06-09,7.46,7.46,7.242,7.268,7.268,1581318
2023-06-12,7.3,7.366,7.226,7.282,7.282,1616653
2023-06-13,7.372,7.38,7.12,7.134,7.134,1661326
2023-06-14,7.136,7.264,7.054,7.172,7.172,2001385
2023-06-15,7.2,7.286,7.11,7.246,6.8932,1711985
2023-06-16,7.28,7.446,7.2,7.2,6.8494,4889581
2023-06-19,7.27,7.43,7.19,7.212,6.8608,932196
2023-06-20,7.212,7.272,7.16,7.188,6.838,1070605
2023-06-21,7.2,7.272,7.156,7.174,7.174,685694
2023-06-22,7.2,7.2,7.094,7.102,7.102,923190
2023-06-23,7.19,7.214,7.112,7.138,7.138,749266
2023-06-26,7.16,7.188,7.094,7.148,7.148,550978
2023-06-27,7.148,7.188,7.0,7.042,7.042,641140
2023-06-28,7.05,7.14,7.048,7.088,7.088,1192264
2023-06-29,7.12,7.126,7.036,7.092,7.092,719180
2023-06-30,7.116,7.146,6.98,6.986,6.986,1616667
2023-07-03,7.0,7.078,6.9,6.928,6.928,1618075
2023-07-04,6.964,7.024,6.898,6.93,6.93,4058241
2023-07-05,6.93,7.02,6.89,6.986,6.6473,1182865
2023-07-06,6.948,6.98,6.904,6.93,6.5941,1346861
2023-07-07,6.958,7.136,6.936,7.08,6.7368,2413477
2023-07-10,7.102,7.234,7.046,7.22,6.87,2492233
2023-07-11,6.922,7.084,6.904,7.05,7.05,2697842
2023-07-12,7.012,7.196,7.012,7.168,7.168,2870940
2023-07-13,7.17,7.304,7.168,7.266,7.266,2068053
2023-07-14,7.266,7.35,7.22,7.3,7.3,1560389
2023-07-17,7.3,7.38,7.252,7.34,7.34,677539
2023-07-18,7.338,7.356,7.262,7.334,7.334,753818
2023-07-19,7.33,7.358,7.26,7.294,7.294,1137719
2023-07-20,7.234,7.244,7.088,7.15,7.15,1438202
2023-07-21,7.142,7.214,7.112,7.202,7.202,812856
2023-07-24,7.23,7.33,7.208,7.28,7.28,1040047
2023-07-25,7.264,7.314,7.224,7.304,7.304,771918
2023-07-26,7.3,7.37,7.18,7.34,7.34,2101233
2023-07-27,7.304,7.506,7.304,7.48,7.48,1915500
2023-07-28,7.47,7.54,7.314,7.406,7.406,1530620
2023-07-31,7.41,7.51,7.372,7.372,7.372,2993998
2023-08-01,7.38,7.41,7.33,7.37,7.37,2422368
2023-08-02,7.32,7.328,7.222,7.276,7.276,2569289
2023-08-03,7.254,7.27,7.156,7.22,7.22,1527408
2023-08-04,7.23,7.23,7.042,7.086,7.086,1744840
2023-08-07,7.054,7.084,7.004,7.044,7.044,1754749
2023-08-08,7.06,7.2,6.95,7.152,7.152,1873280
2023-08-09,7.2,7.2,7.088,7.11,7.11,3811955
2023-08-10,7.152,7.23,7.01,7.038,7.038,2039730
2023-08-11,7.038,7.07,7.0,7.022,7.022,2132148
2023-08-14,6.98,7.0,6.884,6.932,6.932,1853198
2023-08-15,6.932,6.932,6.932,6.932,6.932,0
2023-08-16,6.9,6.906,6.842,6.878,6.878,2617085
2023-08-17,6.89,6.916,6.784,6.836,6.836,1438022
2023-08-18,6.8,6.872,6.732,6.832,6.832,996110
2023-08-21,6.78,6.916,6.78,6.916,6.916,1504214
2023-08-22,6.974,6.974,6.824,6.844,6.844,1471289
2023-08-23,6.904,6.904,6.784,6.86,6.86,887660
2023-08-24,6.89,7.066,6.88,7.036,7.036,797661
2023-08-25,7.038,7.05,6.938,7.0,7.0,510581
2023-08-28,7.05,7.05,6.92,6.998,6.998,584131
2023-08-29,7.04,7.12,6.948,7.06,7.06,1090066
2023-08-30,7.026,7.168,7.026,7.15,7.15,717909
2023-08-31,7.14,7.19,7.094,7.154,7.154,1620220
