Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-16,28.0,28.4,26.65,27.7,27.7,9708
2023-01-17,28.25,28.3,27.75,28.2,28.2,3929
2023-01-18,28.2,29.9,28.2,29.6,29.6,17025
2023-01-19,29.6,29.8,28.55,29.0,29.0,4348
2023-01-20,29.0,29.6,29.0,29.25,29.25,7907
2023-01-23,29.45,30.0,29.1,29.75,29.75,7979
2023-01-24,29.6,30.4,29.0,29.5,29.5,9585
2023-01-25,29.5,29.7,29.0,29.35,29.35,7444
2023-01-26,29.1,29.6,29.0,29.3,29.3,3733
2023-01-27,29.3,29.85,29.3,29.35,29.35,2420
2023-01-30,29.35,30.0,29.35,29.8,29.8,3755
2023-01-31,29.9,30.0,29.0,29.1,29.1,6091
2023-02-01,29.1,29.75,29.0,29.0,29.0,10672
2023-02-02,29.3,29.75,28.65,28.9,28.9,6056
2023-02-03,29.0,29.2,27.2,28.8,28.8,9195
2023-02-06,28.0,28.8,27.5,28.0,28.0,7749
2023-02-07,28.15,28.45,28.05,28.4,28.4,2684
2023-02-08,28.45,29.05,28.45,28.9,28.9,13861
2023-02-09,28.65,29.25,28.5,29.15,29.15,4067
2023-02-10,29.5,30.0,28.6,28.65,28.65,24273
2023-02-13,29.05,30.1,27.2,29.0,29.0,18905
2023-02-14,29.0,29.1,28.35,29.0,29.0,1669
2023-02-15,29.25,29.25,28.4,29.0,29.0,1375
2023-02-16,28.9,29.0,28.3,28.8,28.8,652
2023-02-17,28.8,28.8,28.0,28.4,28.4,2666
2023-02-20,28.4,28.6,28.0,28.55,28.55,2127
2023-02-21,28.0,28.3,27.7,28.3,28.3,3035
2023-02-22,28.35,28.35,27.0,27.55,27.55,7492
2023-02-23,27.25,27.8,27.25,27.55,27.55,1019
2023-02-24,27.6,28.3,27.25,27.8,27.8,1214
2023-02-27,28.4,28.55,27.15,28.55,28.55,1316
2023-02-28,28.5,28.5,27.7,27.7,27.7,3805
2023-03-01,27.55,28.55,27.15,27.6,27.6,7465
2023-03-02,27.2,27.85,27.2,27.55,27.55,3237
2023-03-03,27.55,27.55,27.4,27.5,27.5,1376
2023-03-06,27.5,28.0,27.3,27.55,27.55,7855
2023-03-07,27.6,27.95,27.45,27.75,27.75,6751
2023-03-08,27.75,28.0,27.4,28.0,28.0,4141
2023-03-09,28.0,28.4,27.45,27.45,27.45,6194
2023-03-10,27.5,28.25,27.4,28.15,28.15,4367
2023-03-13,27.5,27.95,27.3,27.9,27.9,6952
2023-03-14,27.5,28.9,27.4,28.9,28.9,11431
2023-03-15,28.9,28.9,27.65,27.65,27.65,5204
2023-03-16,27.6,28.05,27.2,27.9,27.9,7565
2023-03-17,27.9,28.5,27.8,28.5,28.5,2693
2023-03-20,28.05,29.3,28.05,28.9,28.9,5979
2023-03-21,29.55,29.8,28.5,29.4,29.4,3080
2023-03-22,29.4,29.45,28.8,29.0,29.0,1434
2023-03-23,29.0,29.0,28.8,28.8,28.8,6887
2023-03-24,28.8,29.1,28.8,29.0,29.0,6385
2023-03-27,29.0,30.0,29.0,29.95,29.95,9938
2023-03-28,30.0,31.35,30.0,31.0,31.0,19550
2023-03-29,31.1,31.9,30.85,31.45,31.45,10731
2023-03-30,31.5,31.9,29.1,30.65,30.65,55139
2023-03-31,30.4,30.75,30.15,30.4,30.4,1666
2023-04-03,30.4,32.0,30.0,31.95,31.95,57028
2023-04-04,32.0,33.5,31.8,33.5,33.5,27250
2023-04-05,33.95,35.4,33.1,35.2,35.2,47523
2023-04-06,35.3,35.7,34.5,34.95,34.95,21187
2023-04-11,34.95,34.95,33.4,34.45,34.45,15506
2023-04-12,34.6,34.85,33.35,34.0,34.0,6092
2023-04-13,33.7,34.15,33.55,33.9,33.9,5496
2023-04-14,33.9,33.95,33.15,33.9,33.9,2688
2023-04-17,34.2,34.25,33.55,33.95,33.95,7755
2023-04-18,34.0,34.2,33.4,33.85,33.85,5820
2023-04-19,33.8,34.8,33.5,34.75,34.75,10510
2023-04-20,33.9,35.8,33.9,35.5,35.5,7620
2023-04-21,35.0,35.5,34.7,35.5,35.5,2434
2023-04-24,35.0,37.0,35.0,35.5,35.5,12732
2023-04-25,35.5,35.8,34.4,35.0,35.0,5451
2023-04-26,34.4,35.5,34.1,34.2,34.2,3446
2023-04-27,34.1,35.4,33.2,34.8,34.8,13699
2023-04-28,34.8,35.6,34.3,35.5,35.5,8945
2023-05-02,35.5,35.5,34.4,34.7,34.7,2764
2023-05-04,34.7,35.2,34.4,34.9,34.9,955
2023-05-05,34.9,34.9,34.0,34.3,34.3,5947
2023-05-08,34.5,36.2,34.5,35.0,35.0,8000
2023-05-09,35.0,36.8,35.0,35.8,35.8,17924
2023-05-10,36.2,36.4,35.5,35.5,35.5,1967
2023-05-11,35.5,36.4,35.5,36.2,36.2,3094
2023-05-12,35.9,36.1,34.8,35.4,35.4,2763
2023-05-15,35.6,36.0,35.4,35.6,35.6,2139
2023-05-16,35.6,35.8,35.6,35.8,35.8,3441
2023-05-17,35.7,36.0,35.5,35.5,35.5,971
2023-05-18,35.6,36.5,35.6,35.9,35.9,7754
2023-05-19,36.2,36.9,36.0,36.9,36.9,9179
2023-05-22,37.0,37.3,36.9,37.1,37.1,10577
2023-05-23,37.1,37.6,36.9,37.1,37.1,6985
2023-05-24,36.9,37.0,33.3,35.8,35.8,53250
2023-05-25,35.0,37.6,34.9,37.3,37.3,25060
2023-05-26,37.4,37.5,37.0,37.1,37.1,6412
2023-05-29,37.0,37.5,37.0,37.2,37.2,5338
2023-05-30,37.0,37.5,37.0,37.4,37.4,5781
2023-05-31,37.1,37.1,36.2,36.2,36.2,10825
2023-06-01,36.6,36.6,33.8,34.0,34.0,18829
2023-06-02,34.5,35.8,34.1,34.6,34.6,9593
2023-06-05,35.7,35.7,34.4,34.7,34.7,3460
2023-06-06,34.9,35.0,33.7,33.9,33.9,4183
2023-06-07,34.1,35.0,33.9,34.3,34.3,7027
2023-06-09,34.6,34.7,34.3,34.5,34.5,2154
2023-06-12,34.5,34.7,34.4,34.7,34.7,584
2023-06-13,34.6,35.0,34.5,34.6,34.6,3103
2023-06-14,34.6,35.0,34.3,34.3,34.3,3319
2023-06-15,34.3,35.0,34.3,34.5,34.5,3985
2023-06-16,34.5,34.8,34.3,34.4,34.4,1948
2023-06-19,34.4,35.0,34.3,35.0,35.0,5814
2023-06-20,35.0,35.0,34.3,34.9,34.9,3736
2023-06-21,34.3,34.8,34.3,34.8,34.8,2204
2023-06-22,34.6,34.7,34.4,34.6,34.6,2795
2023-06-23,34.6,34.6,33.8,33.9,33.9,3038
2023-06-26,33.9,33.9,31.8,32.0,32.0,22704
2023-06-27,31.8,31.8,30.8,31.5,31.5,20250
2023-06-28,31.6,33.0,31.6,32.0,32.0,9397
2023-06-29,32.1,33.0,32.0,33.0,33.0,3195
2023-06-30,32.3,33.1,32.3,33.1,33.1,987
2023-07-03,33.0,33.4,32.9,33.3,33.3,3717
2023-07-04,33.4,35.4,33.4,34.9,34.9,31664
2023-07-05,34.8,35.5,34.1,34.9,34.9,16562
2023-07-06,35.6,37.2,35.6,36.6,36.6,27585
2023-07-07,37.0,37.0,36.2,36.8,36.8,6097
2023-07-10,36.9,37.0,35.3,35.6,35.6,10959
2023-07-11,36.0,36.1,35.7,36.1,36.1,6236
2023-07-12,36.1,36.5,35.9,36.4,36.4,3590
2023-07-13,36.2,36.9,35.9,36.9,36.9,5044
2023-07-14,36.9,36.9,36.0,36.8,36.8,10968
2023-07-17,36.9,36.9,36.1,36.2,36.2,3879
2023-07-18,36.1,36.7,36.1,36.5,36.5,3457
2023-07-19,36.5,37.0,36.5,36.6,36.6,4120
2023-07-20,36.7,38.4,36.6,37.9,37.9,20369
2023-07-21,37.8,37.9,37.3,37.8,37.8,25738
