Date,Open,High,Low,Close,Adjusted_close,Volume
2023-04-11,48.0,49.0,48.0,49.0,48.1881,3740
2023-04-12,49.0,49.1,47.5,49.0,48.1881,2334
2023-04-13,49.1,49.1,47.8,48.7,47.8931,893
2023-04-14,48.6,49.0,48.0,49.0,48.1881,1999
2023-04-17,49.0,49.0,47.8,48.2,47.4014,362
2023-04-18,48.5,48.5,48.0,48.0,47.2047,144
2023-04-19,48.0,48.0,47.2,47.4,46.6146,1351
2023-04-20,47.6,49.0,47.6,49.0,48.1881,3838
2023-04-21,49.0,49.3,48.9,49.0,48.1881,1348
2023-04-24,49.0,50.2,49.0,50.2,49.3682,12036
2023-04-25,50.2,50.4,50.0,50.0,49.1716,885
2023-04-26,50.4,50.8,50.0,50.8,49.9583,4707
2023-04-27,50.8,54.0,50.0,51.6,50.745,7354
2023-04-28,51.6,53.6,51.0,51.8,50.9417,2612
2023-05-02,51.4,52.6,50.2,52.6,51.7285,8047
2023-05-04,52.6,54.2,51.2,51.2,50.3517,7845
2023-05-05,51.6,53.0,51.6,53.0,52.1218,1288
2023-05-08,53.0,53.2,51.8,53.0,52.1218,558
2023-05-09,52.8,54.8,52.4,54.8,53.892,4320
2023-05-10,54.2,55.0,53.0,55.0,54.0887,3858
2023-05-11,53.8,54.6,53.8,54.0,53.1053,934
2023-05-12,54.0,55.4,54.0,55.0,54.0887,3616
2023-05-15,54.2,55.2,54.2,55.0,54.0887,3116
2023-05-16,55.0,56.8,54.2,56.8,55.8589,3938
2023-05-17,56.6,56.8,54.0,54.0,53.1053,2738
2023-05-18,54.2,55.0,54.2,54.8,53.892,636
2023-05-19,55.6,56.0,55.0,56.0,55.0721,4862
2023-05-22,56.0,58.0,56.0,57.8,56.8423,3025
2023-05-23,58.0,59.0,57.0,57.8,56.8423,2179
2023-05-24,57.6,58.8,56.8,58.8,57.8257,6172
2023-05-25,58.8,59.2,57.6,58.8,57.8257,2332
2023-05-26,58.8,60.0,58.4,59.8,58.8092,4671
2023-05-29,60.0,61.6,60.0,60.0,59.0059,4257
2023-05-30,60.4,61.8,60.2,60.8,59.7926,1475
2023-05-31,60.6,60.6,56.8,58.2,57.2357,3481
2023-06-01,58.0,58.0,55.4,57.8,56.8423,3515
2023-06-02,58.4,59.4,57.0,58.4,57.4324,4940
