Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-14,26.0,27.2,25.82,26.6,26.6,172540
2022-11-15,26.77,28.05,26.23,27.55,27.55,88280
2022-11-16,26.32,27.4,26.3,26.5,26.5,134640
2022-11-17,27.05,27.14,25.3,25.72,25.72,85000
2022-11-18,25.76,26.23,25.18,25.65,25.65,29530
2022-11-21,25.52,25.55,24.94,24.94,24.94,35790
2022-11-22,24.99,26.21,24.99,26.03,26.03,55150
2022-11-23,26.3,26.62,25.5,25.97,25.97,67030
2022-11-24,26.25,27.0,26.04,27.0,27.0,58360
2022-11-25,26.87,27.22,26.5,27.0,27.0,33060
2022-11-28,26.77,26.8,26.18,26.28,26.28,51830
2022-11-29,26.5,26.73,25.9,26.52,26.52,36220
2022-11-30,26.66,27.0,26.07,26.3,26.3,35950
2022-12-01,27.31,27.31,26.64,27.17,27.17,39920
2022-12-02,26.96,26.97,26.18,26.32,26.32,27490
2022-12-05,26.6,27.24,26.55,26.55,26.55,28420
2022-12-06,26.43,26.45,25.96,26.19,26.19,26520
2022-12-07,26.0,26.35,25.83,26.35,26.35,14560
2022-12-08,26.3,26.3,25.63,26.0,26.0,14800
2022-12-09,26.08,26.18,25.8,26.09,26.09,7450
2022-12-12,26.01,26.9,25.67,26.74,26.74,14170
2022-12-13,26.8,28.32,26.51,27.9,27.9,81350
2022-12-14,27.9,28.05,27.53,27.87,27.87,13970
2022-12-15,27.56,27.59,26.6,26.6,26.6,39040
2022-12-16,26.6,26.88,25.97,26.23,26.23,29100
2022-12-19,26.18,26.82,26.18,26.4,26.4,22060
2022-12-20,26.0,27.0,25.93,26.9,26.9,14760
2022-12-21,26.94,27.7,26.73,27.69,27.69,42620
2022-12-22,27.83,28.07,27.44,27.5,27.5,45450
2022-12-23,27.54,27.6,27.28,27.6,27.6,16450
2022-12-27,27.74,27.78,26.97,27.1,27.1,26510
2022-12-28,27.08,27.39,26.8,27.15,27.15,45390
2022-12-29,27.23,28.2,27.23,28.0,28.0,37800
2022-12-30,28.0,28.1,27.76,27.93,27.93,11820
2023-01-02,27.99,28.49,27.69,27.88,27.88,22470
2023-01-03,28.05,29.2,27.95,28.85,28.85,43570
2023-01-04,29.04,29.93,28.88,29.93,29.93,94510
2023-01-05,29.6,30.89,29.55,29.87,29.87,67420
2023-01-09,30.75,31.79,30.73,31.7,31.7,47110
2023-01-10,31.24,32.7,31.09,32.7,32.7,45610
2023-01-11,32.7,33.24,31.73,31.91,31.91,82220
2023-01-12,32.09,33.0,31.9,32.33,32.33,92480
2023-01-13,32.66,32.66,31.6,32.3,32.3,41070
2023-01-16,32.26,32.79,31.38,32.4,32.4,24760
2023-01-17,32.5,32.5,31.27,31.59,31.59,24620
2023-01-18,31.43,32.26,31.17,31.88,31.88,30290
2023-01-19,31.24,31.39,30.27,30.89,30.89,66090
2023-01-20,30.96,31.2,30.64,31.12,31.12,11350
2023-01-23,31.28,32.23,31.28,32.1,32.1,20760
2023-01-24,32.4,32.77,31.7,31.72,31.72,55750
2023-01-25,31.29,32.2,30.51,30.86,30.86,32260
2023-01-26,31.27,31.85,31.07,31.67,31.67,12330
2023-01-27,32.06,32.1,31.48,31.71,31.71,16260
2023-01-30,31.29,31.29,30.63,30.75,30.75,22900
2023-01-31,30.53,31.4,30.27,31.4,31.4,18980
2023-02-01,31.3,31.53,30.22,30.22,30.22,25640
2023-02-02,31.26,31.72,30.67,31.39,31.39,37300
2023-02-03,31.34,31.7,30.98,31.3,31.3,21230
