Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-05,36.0,36.2,35.85,36.2,35.3127,479
2022-09-06,36.0,36.6,35.55,35.55,34.6787,3108
2022-09-07,35.55,35.95,35.45,35.75,34.8738,390
2022-09-08,36.2,36.4,34.3,34.75,33.8983,7572
2022-09-09,35.0,36.25,34.9,36.25,35.3615,1782
2022-09-12,36.25,37.9,36.2,37.45,36.5321,2518
2022-09-13,37.7,37.8,37.35,37.45,36.5321,298
2022-09-14,36.8,36.85,36.8,36.8,35.898,450
2022-09-15,37.0,37.6,37.0,37.6,36.6784,128
2022-09-16,37.3,37.85,37.05,37.6,36.6784,894
2022-09-19,37.4,38.55,36.9,38.55,37.6051,3526
2022-09-20,38.55,38.7,38.05,38.7,37.7515,1911
2022-09-21,38.7,40.0,37.8,39.9,38.9221,2883
2022-09-22,39.9,39.9,39.5,39.75,38.7757,565
2022-09-23,39.75,39.75,38.8,39.05,38.0929,2203
2022-09-26,38.6,38.95,38.0,38.0,37.0686,2181
2022-09-27,38.1,39.15,38.1,38.7,37.7515,7741
2022-09-28,39.0,39.75,37.6,37.6,36.6784,1570
2022-09-29,37.5,37.5,36.0,36.0,35.1176,3173
2022-09-30,36.5,38.45,36.5,38.0,37.0686,2012
2022-10-03,38.8,38.8,37.3,37.55,36.6297,1374
2022-10-04,38.0,38.0,37.6,37.6,36.6784,662
2022-10-05,37.6,37.8,37.4,37.8,36.8735,1759
2022-10-06,38.2,38.25,37.8,38.25,37.3125,801
2022-10-07,38.25,38.4,37.7,38.4,37.4588,1607
2022-10-10,38.35,39.3,38.35,39.0,38.0441,23645
2022-10-11,39.0,39.9,38.95,39.9,38.9221,25531
2022-10-12,40.7,40.75,38.75,38.9,37.9466,1486
2022-10-13,38.9,39.3,38.65,39.3,38.3368,6754
2022-10-14,39.5,40.6,39.5,40.6,39.6049,795
2022-10-17,40.3,40.45,40.3,40.4,39.4098,584
