Date,Open,High,Low,Close,Adjusted_close,Volume
2023-05-02,18.92,18.92,18.16,18.18,18.18,49376
2023-05-04,18.18,18.48,17.8,18.0,18.0,70219
2023-05-05,18.1,18.64,18.02,18.38,18.38,87492
2023-05-08,18.42,18.92,18.3,18.9,18.9,30247
2023-05-09,18.98,20.0,18.8,19.88,19.88,151947
2023-05-10,20.0,20.0,19.52,19.8,19.8,133150
2023-05-11,20.0,20.9,19.82,20.55,20.55,204102
2023-05-12,21.2,23.3,21.2,23.3,23.3,507564
2023-05-15,23.3,23.85,22.6,23.0,23.0,151535
2023-05-16,22.8,23.25,22.2,22.9,22.9,91166
2023-05-17,22.8,23.3,22.5,23.0,23.0,139409
2023-05-18,23.0,23.0,22.55,22.65,22.65,38261
2023-05-19,22.55,22.75,22.3,22.5,22.5,95351
2023-05-22,22.45,23.0,22.3,23.0,23.0,102856
2023-05-23,22.75,23.0,22.4,22.8,22.8,82999
2023-05-24,22.8,22.8,21.65,22.0,22.0,74051
2023-05-25,21.9,22.2,21.75,21.85,21.85,63436
2023-05-26,21.65,22.3,21.65,22.3,22.3,32759
2023-05-29,22.7,22.7,21.95,22.45,22.45,55301
2023-05-30,22.45,22.5,21.9,22.0,22.0,26153
2023-05-31,22.05,22.9,21.75,22.2,22.2,136409
2023-06-01,22.05,23.0,22.05,22.95,22.95,111829
2023-06-02,22.65,23.3,22.65,23.15,23.15,69340
2023-06-05,23.4,24.15,23.2,23.6,23.6,139536
2023-06-06,23.5,23.9,23.35,23.6,23.6,145456
2023-06-07,23.55,23.75,23.25,23.35,23.35,89441
2023-06-09,23.3,23.65,22.8,22.8,22.8,28899
2023-06-12,22.85,23.8,22.85,23.6,23.6,102703
2023-06-13,23.7,23.8,22.75,22.75,22.75,41102
2023-06-14,22.7,23.1,22.3,23.0,23.0,49762
2023-06-15,23.0,23.45,22.45,23.15,23.15,153677
2023-06-16,23.35,23.35,22.85,23.0,23.0,88101
2023-06-19,22.9,23.1,22.65,23.0,23.0,76217
2023-06-20,22.85,22.95,22.65,22.7,22.7,34121
2023-06-21,22.7,23.15,22.6,23.0,23.0,68681
2023-06-22,23.1,23.35,22.6,22.95,22.95,116278
2023-06-23,23.0,23.0,22.6,22.65,22.65,39625
2023-06-26,23.0,23.05,22.55,22.9,22.9,72239
2023-06-27,22.75,23.1,22.7,23.0,23.0,69001
2023-06-28,22.8,23.05,22.75,22.95,22.95,44534
2023-06-29,23.0,23.15,22.8,23.0,23.0,154947
2023-06-30,22.85,23.0,22.6,23.0,23.0,47152
2023-07-03,23.0,23.25,22.8,23.0,23.0,235291
2023-07-04,23.0,23.45,22.8,23.45,23.45,54557
2023-07-05,23.5,23.55,22.9,23.25,23.25,48379
2023-07-06,23.0,23.05,22.6,22.6,22.6,39206
2023-07-07,22.6,23.15,22.6,23.15,23.15,31212
2023-07-10,23.0,23.45,22.85,23.3,23.3,30472
2023-07-11,23.2,23.5,22.9,23.5,23.5,42811
2023-07-12,23.5,24.9,23.3,24.6,24.6,457844
2023-07-13,24.75,25.3,24.6,24.7,24.7,173378
2023-07-14,24.95,25.2,24.6,24.7,24.7,101681
2023-07-17,24.8,26.0,24.8,25.9,25.9,311399
2023-07-18,26.0,27.25,25.85,26.6,26.6,334037
2023-07-19,26.9,27.0,25.9,26.05,26.05,187905
2023-07-20,25.9,26.55,25.8,26.3,26.3,108019
2023-07-21,26.5,26.6,25.9,26.5,26.5,59456
2023-07-24,26.3,27.4,26.3,27.15,27.15,266704
2023-07-25,27.2,27.4,26.6,27.0,27.0,165232
2023-07-26,27.0,27.25,26.6,26.9,26.9,92812
2023-07-27,26.65,27.1,26.65,27.0,27.0,77093
2023-07-28,26.85,27.5,26.75,27.1,27.1,100039
2023-07-31,26.9,28.2,26.85,27.95,27.95,129199
2023-08-01,28.0,28.75,27.8,28.75,28.75,119270
2023-08-02,28.4,28.6,27.75,27.9,27.9,131147
2023-08-03,27.95,28.0,27.3,28.0,28.0,35327
2023-08-04,27.85,28.45,27.7,28.0,28.0,35019
2023-08-07,27.5,27.65,26.95,27.25,27.25,51166
2023-08-08,27.2,27.8,27.05,27.45,27.45,63503
2023-08-09,27.3,27.8,27.0,27.8,27.8,28533
2023-08-10,27.5,28.15,27.3,28.0,28.0,41595
2023-08-11,28.0,28.05,27.3,28.05,28.05,22533
2023-08-14,27.95,28.2,27.5,28.15,28.15,34424
2023-08-16,28.2,28.2,27.05,27.1,27.1,36195
2023-08-17,26.95,27.6,26.3,27.25,27.25,44934
2023-08-18,27.05,27.25,26.3,27.2,27.2,88416
2023-08-21,26.8,28.0,26.7,28.0,28.0,68912
2023-08-22,27.5,27.8,27.45,27.75,27.75,35689
2023-08-23,27.4,27.95,27.4,27.85,27.85,20780
2023-08-24,27.95,28.0,27.15,27.2,27.2,20286
2023-08-25,27.0,28.0,26.85,27.35,27.35,23716
2023-08-28,27.35,27.8,26.8,27.7,27.7,15004
2023-08-29,27.7,27.7,27.1,27.4,27.4,5664
2023-08-30,27.4,28.4,27.25,28.0,28.0,139259
