Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-29,2.88,2.98,2.8,2.98,2.98,13891
2022-08-30,2.9,2.95,2.9,2.91,2.91,1911
2022-08-31,2.98,3.22,2.98,3.22,3.22,5909
2022-09-01,3.1,3.22,3.1,3.22,3.22,14155
2022-09-02,3.22,3.22,3.22,3.22,3.22,0
2022-09-05,3.22,3.22,3.22,3.22,3.22,0
2022-09-06,3.22,3.38,3.1,3.38,3.38,21247
2022-09-07,3.32,3.38,3.32,3.38,3.38,301
2022-09-08,3.38,3.52,3.38,3.52,3.52,5206
2022-09-09,3.53,3.54,3.53,3.53,3.53,5700
2022-09-12,3.4,3.52,3.34,3.52,3.52,15292
2022-09-13,3.5,3.6,3.4,3.5,3.5,21066
2022-09-14,3.44,3.54,3.3,3.44,3.44,12837
2022-09-15,3.33,3.44,3.32,3.44,3.44,580
2022-09-16,3.44,3.44,3.44,3.44,3.44,580
2022-09-19,3.44,3.44,3.44,3.44,3.44,0
2022-09-20,3.32,3.42,3.3,3.42,3.42,4401
2022-09-21,3.3,3.32,3.3,3.3,3.3,3100
2022-09-22,3.3,3.3,3.3,3.3,3.3,3100
2022-09-23,3.3,3.5,3.24,3.24,3.24,10964
2022-09-26,3.24,3.24,3.1,3.14,3.14,5912
2022-09-27,3.1,3.2,3.1,3.2,3.2,730
2022-09-28,3.1,3.46,3.1,3.46,3.46,6401
2022-09-29,3.32,3.32,3.32,3.32,3.32,2300
2022-09-30,3.32,3.32,3.32,3.32,3.32,2300
2022-10-03,3.32,3.32,3.32,3.32,3.32,0
2022-10-04,3.2,3.32,3.2,3.32,3.32,3001
2022-10-05,3.32,3.32,3.32,3.32,3.32,10
2022-10-06,3.2,3.3,3.18,3.2,3.2,1495
2022-10-07,3.2,3.22,3.18,3.18,3.18,5125
2022-10-10,3.2,3.2,3.06,3.18,3.18,10175
2022-10-11,3.18,3.19,3.06,3.07,3.07,5349
2022-10-12,3.08,3.19,3.06,3.19,3.19,7340
2022-10-13,3.2,3.2,3.07,3.2,3.2,9444
2022-10-14,3.19,3.19,3.06,3.07,3.07,2716
2022-10-17,3.07,3.2,3.06,3.06,3.06,4800
2022-10-18,3.08,3.19,3.06,3.06,3.06,4141
2022-10-19,3.2,3.2,3.07,3.18,3.18,6225
2022-10-20,3.18,3.2,3.06,3.18,3.18,2742
2022-10-21,3.18,3.2,3.07,3.19,3.19,5775
2022-10-24,3.1,3.2,3.1,3.2,3.2,1681
2022-10-25,3.2,3.2,3.08,3.08,3.08,2766
2022-10-26,3.08,3.48,3.08,3.46,3.46,20096
2022-10-27,3.56,3.56,3.32,3.43,3.43,6700
2022-10-28,3.32,3.41,3.26,3.26,3.26,5402
2022-10-31,3.3,3.52,3.26,3.47,3.47,5507
2022-11-02,3.45,3.45,3.3,3.32,3.32,6157
2022-11-03,3.34,4.16,3.34,4.15,4.15,57990
2022-11-04,4.14,4.37,3.73,4.14,4.14,124845
2022-11-07,4.02,4.2,3.96,4.14,4.14,19006
2022-11-08,4.13,4.2,3.96,4.09,4.09,12625
2022-11-09,4.12,4.12,3.92,4.0,4.0,5403
2022-11-10,3.86,4.0,3.83,3.98,3.98,12088
2022-11-14,3.98,4.37,3.85,4.25,4.25,21464
2022-11-15,4.2,4.3,4.04,4.3,4.3,8406
2022-11-16,4.14,4.15,3.9,3.99,3.99,13591
2022-11-17,3.91,4.14,3.91,4.14,4.14,14896
2022-11-18,4.12,4.17,4.01,4.16,4.16,6760
2022-11-21,4.16,4.2,4.04,4.19,4.19,2914
2022-11-22,4.18,4.7,4.18,4.59,4.59,40405
2022-11-23,4.59,4.92,4.51,4.78,4.78,27949
2022-11-24,4.7,4.78,4.51,4.6,4.6,15790
2022-11-25,4.59,4.6,4.36,4.39,4.39,18658
2022-11-28,4.32,4.38,4.23,4.38,4.38,17559
2022-11-29,4.37,4.4,4.29,4.4,4.4,7366
2022-11-30,4.23,4.57,4.23,4.55,4.55,8597
2022-12-01,4.4,4.55,4.25,4.39,4.39,16679
2022-12-02,4.25,4.25,4.12,4.25,4.25,6801
2022-12-05,4.18,4.2,4.08,4.2,4.2,18875
2022-12-06,4.19,4.4,4.11,4.18,4.18,11108
2022-12-07,4.11,4.14,4.02,4.12,4.12,6651
2022-12-08,4.08,4.19,3.88,3.97,3.97,26434
2022-12-09,3.97,4.22,3.9,4.12,4.12,45929
2022-12-12,4.12,4.2,4.0,4.2,4.2,9599
2022-12-13,4.2,4.2,4.07,4.2,4.2,2938
2022-12-14,4.08,4.2,4.04,4.17,4.17,7927
2022-12-15,4.05,4.12,3.86,3.99,3.99,10636
2022-12-16,3.97,3.97,3.62,3.84,3.84,9846
2022-12-19,3.84,3.93,3.7,3.74,3.74,14785
2022-12-20,3.72,3.82,3.67,3.82,3.82,7012
2022-12-21,3.82,4.06,3.82,4.0,4.0,6480
2022-12-22,3.9,4.06,3.9,3.9,3.9,7671
2022-12-23,3.82,3.9,3.82,3.9,3.9,102
2022-12-27,3.86,3.88,3.76,3.83,3.83,4296
2022-12-28,3.9,3.9,3.76,3.77,3.77,2615
2022-12-29,3.8,4.05,3.77,4.05,4.05,6492
2022-12-30,4.05,4.06,3.95,4.06,4.06,1292
2023-01-02,4.1,4.2,4.1,4.19,4.19,4455
2023-01-03,4.09,4.19,4.09,4.19,4.19,790
2023-01-04,4.19,4.4,4.19,4.34,4.34,12464
2023-01-05,4.34,4.4,4.2,4.38,4.38,2459
2023-01-09,4.38,4.38,4.22,4.38,4.38,1376
2023-01-10,4.3,4.3,4.29,4.29,4.29,895
2023-01-11,4.29,4.29,4.08,4.19,4.19,3936
2023-01-12,4.19,4.19,4.1,4.18,4.18,1846
2023-01-13,4.18,4.18,4.18,4.18,4.18,45
2023-01-16,4.15,4.42,4.15,4.38,4.38,4884
2023-01-17,4.37,4.37,4.2,4.2,4.2,4300
2023-01-18,4.1,4.1,4.1,4.1,4.1,488
2023-01-19,4.07,4.2,4.02,4.02,4.02,4608
2023-01-20,4.16,4.16,4.16,4.16,4.16,2
2023-01-23,4.1,4.16,4.1,4.16,4.16,33
2023-01-24,4.0,4.15,4.0,4.15,4.15,311
2023-01-25,4.16,4.16,4.16,4.16,4.16,1
2023-01-26,4.0,4.0,3.94,4.0,4.0,2104
2023-01-27,3.93,3.93,3.93,3.93,3.93,503
2023-01-30,3.92,4.16,3.91,4.16,4.16,12025
2023-01-31,4.0,4.18,4.0,4.18,4.18,9011
2023-02-01,4.0,4.17,4.0,4.17,4.17,1313
2023-02-02,4.17,4.28,3.99,4.2,4.2,11215
2023-02-03,4.19,4.2,4.05,4.2,4.2,2064
2023-02-06,4.2,4.2,4.19,4.19,4.19,981
2023-02-07,4.19,4.19,4.19,4.19,4.19,981
2023-02-08,4.19,4.19,4.0,4.19,4.19,9719
2023-02-09,4.19,4.2,4.19,4.19,4.19,705
2023-02-10,4.05,4.2,4.05,4.19,4.19,4361
2023-02-13,4.1,4.2,4.1,4.2,4.2,2218
2023-02-14,4.2,4.7,4.2,4.7,4.7,59285
2023-02-15,4.62,4.7,4.5,4.57,4.57,26491
2023-02-16,4.57,4.68,4.4,4.5,4.5,5461
2023-02-17,4.5,4.5,4.5,4.5,4.5,150
2023-02-20,4.33,4.5,4.23,4.3,4.3,11378
2023-02-21,4.29,4.3,4.29,4.3,4.3,2600
2023-02-22,4.2,4.5,4.2,4.48,4.48,3707
2023-02-23,4.48,4.48,4.48,4.48,4.48,105
2023-02-24,4.46,5.36,4.46,5.1,5.1,62599
2023-02-27,5.38,5.38,4.86,4.98,4.98,15657
2023-02-28,4.98,5.0,4.82,5.0,5.0,1580
2023-03-01,5.0,5.36,5.0,5.0,5.0,7391
2023-03-02,4.8,5.06,4.8,5.06,5.06,10745
2023-03-03,4.8,5.2,4.8,5.2,5.2,5654
2023-03-06,5.2,5.2,5.0,5.2,5.2,2159
2023-03-07,5.0,5.2,5.0,5.2,5.2,758
2023-03-08,5.0,5.0,4.82,5.0,5.0,3741
2023-03-09,5.0,5.0,4.9,5.0,5.0,10512
2023-03-10,5.0,5.0,5.0,5.0,5.0,10512
2023-03-13,4.8,4.82,4.71,4.8,4.8,2537
2023-03-14,4.8,5.2,4.8,5.2,5.2,9371
2023-03-15,5.2,5.48,5.0,5.38,5.38,13236
2023-03-16,5.36,5.7,5.22,5.7,5.7,33295
2023-03-17,5.68,5.68,5.6,5.6,5.6,1689
2023-03-20,5.44,6.0,5.44,6.0,6.0,27194
2023-03-21,6.0,6.0,5.84,6.0,6.0,3170
2023-03-22,5.8,6.0,5.8,5.98,5.98,5737
2023-03-23,5.98,5.98,5.6,5.7,5.7,2206
2023-03-24,5.74,5.8,5.48,5.6,5.6,6692
2023-03-27,5.48,5.8,5.42,5.74,5.74,3413
2023-03-28,5.6,5.6,5.26,5.4,5.4,5729
2023-03-29,5.4,5.6,5.26,5.6,5.6,5099
2023-03-30,5.26,5.4,5.26,5.4,5.4,505
2023-03-31,5.26,5.5,5.12,5.2,5.2,14998
