Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-14,1167.12,1167.93,1159.59,1162.66,1162.66,1490000
2023-02-15,1161.43,1170.53,1160.04,1169.47,1169.47,1480000
2023-02-16,1173.44,1176.41,1167.96,1175.21,1175.21,2340000
2023-02-17,1174.01,1182.3,1172.43,1181.15,1181.15,1710000
2023-02-20,1183.02,1185.79,1178.21,1182.29,1182.29,1250000
2023-02-21,1182.66,1184.48,1168.5,1171.28,1171.28,1890000
2023-02-22,1169.82,1171.83,1158.87,1166.2,1166.2,2530000
2023-02-23,1170.81,1174.59,1168.39,1170.89,1170.89,2260000
2023-02-24,1175.62,1177.28,1165.25,1166.19,1166.19,2400000
2023-02-27,1167.56,1174.47,1166.65,1169.23,1169.23,1600000
2023-02-28,1167.5,1183.87,1166.68,1183.87,1183.87,6970000
2023-03-01,1186.19,1190.98,1182.97,1185.54,1185.54,5330000
2023-03-02,1184.21,1184.21,1172.77,1174.9,1174.9,3470000
2023-03-03,1178.78,1191.92,1178.23,1191.92,1191.92,1960000
2023-03-06,1194.16,1206.98,1191.53,1206.25,1206.25,2510000
2023-03-07,1204.38,1212.51,1200.37,1207.48,1207.48,2860000
2023-03-08,1204.51,1217.04,1203.48,1214.76,1214.76,2620000
2023-03-09,1216.38,1220.24,1211.35,1214.91,1214.91,3110000
2023-03-10,1204.99,1206.31,1195.82,1200.5,1200.5,2610000
2023-03-13,1200.22,1206.61,1172.38,1188.52,1188.52,4690000
2023-03-14,1189.19,1196.54,1183.41,1192.94,1192.94,3450000
2023-03-15,1194.46,1198.53,1172.28,1175.21,1175.21,4320000
2023-03-16,1178.79,1183.24,1160.83,1171.83,1171.83,5930000
2023-03-17,1179.99,1185.79,1175.65,1175.65,1175.65,7060000
2023-03-20,1173.91,1173.91,1155.29,1171.11,1171.11,3410000
2023-03-21,1176.96,1190.81,1176.96,1180.02,1180.02,3730000
2023-03-22,1183.33,1192.39,1174.35,1186.49,1186.49,2250000
2023-03-23,1187.06,1194.17,1186.28,1189.63,1189.63,2060000
2023-03-24,1192.58,1196.03,1179.36,1183.45,1183.45,2150000
2023-03-27,1187.43,1200.5,1187.43,1194.64,1194.64,2340000
2023-03-28,1196.73,1202.95,1196.73,1200.84,1200.84,2900000
2023-03-29,1204.76,1204.79,1190.36,1191.75,1191.75,3880000
2023-03-30,1192.42,1202.66,1192.42,1200.31,1200.31,2990000
2023-03-31,1207.79,1210.21,1201.28,1202.55,1202.55,3670000
2023-04-03,1207.52,1214.23,1199.02,1199.02,1199.02,2640000
2023-04-04,1204.33,1208.81,1201.22,1203.2,1203.2,2140000
2023-04-05,1203.63,1204.9,1195.2,1195.29,1195.29,3130000
2023-04-06,1196.59,1201.59,1193.52,1193.52,1193.52,1770000
2023-04-11,1202.23,1220.46,1200.37,1220.46,1220.46,4680000
2023-04-12,1219.81,1230.72,1219.19,1230.49,1230.49,4730000
2023-04-13,1231.49,1243.04,1229.63,1241.4,1241.4,4840000
2023-04-14,1249.52,1258.45,1245.92,1250.69,1250.69,3350000
2023-04-17,1253.91,1262.98,1253.78,1261.54,1261.54,3230000
2023-04-18,1263.37,1275.58,1262.29,1269.45,1269.45,2810000
2023-04-19,1270.53,1271.44,1261.69,1267.25,1267.25,2520000
2023-04-20,1265.98,1274.52,1262.61,1263.89,1263.89,2730000
2023-04-21,1263.96,1270.8,1262.07,1263.81,1263.81,3610000
2023-04-24,1263.02,1269.82,1255.95,1269.4,1269.4,2320000
2023-04-25,1269.0,1281.4,1266.48,1277.21,1277.21,3400000
2023-04-26,1271.87,1279.22,1265.42,1274.48,1274.48,4040000
2023-04-27,1271.41,1290.88,1271.41,1290.61,1290.61,5860000
2023-04-28,1291.69,1294.42,1282.72,1286.0,1286.0,4030000
2023-05-02,1294.46,1296.31,1284.66,1285.43,1285.43,2910000
2023-05-04,1289.22,1295.24,1286.2,1287.41,1287.41,3520000
2023-05-05,1290.08,1295.33,1283.94,1289.41,1289.41,2370000
2023-05-08,1290.69,1303.65,1290.69,1297.43,1297.43,2710000
2023-05-09,1299.66,1299.91,1291.42,1297.73,1297.73,2320000
2023-05-10,1299.74,1303.65,1292.61,1301.07,1301.07,4670000
2023-05-11,1302.37,1306.36,1293.1,1293.95,1293.95,3150000
2023-05-12,1296.01,1301.16,1294.35,1301.11,1301.11,3480000
2023-05-15,1301.42,1305.46,1292.16,1297.36,1297.36,2400000
2023-05-16,1295.6,1302.94,1293.36,1301.95,1301.95,2330000
2023-05-17,1301.81,1306.27,1293.32,1295.6,1295.6,2780000
2023-05-18,1306.08,1311.15,1298.98,1300.6,1300.6,3390000
2023-05-19,1302.66,1312.07,1301.33,1310.52,1310.52,3070000
2023-05-22,1310.48,1319.97,1307.38,1318.86,1318.86,2810000
2023-05-23,1318.66,1324.88,1315.77,1321.13,1321.13,2920000
2023-05-24,1319.45,1319.45,1306.41,1312.98,1312.98,2510000
2023-05-25,1315.75,1315.75,1302.3,1304.3,1304.3,3320000
2023-05-26,1302.86,1316.27,1300.59,1314.99,1314.99,3480000
2023-05-29,1317.26,1317.86,1309.07,1309.77,1309.77,1770000
2023-05-30,1308.86,1308.98,1301.37,1306.76,1306.76,3430000
2023-05-31,1300.81,1300.94,1280.04,1285.42,1285.42,12630000
2023-06-01,1291.41,1298.45,1285.23,1298.45,1298.45,2650000
2023-06-02,1305.59,1311.36,1303.14,1310.34,1310.34,3600000
2023-06-05,1311.4,1321.45,1309.79,1314.05,1314.05,3180000
2023-06-06,1314.06,1316.3,1304.95,1313.27,1313.27,4910000
2023-06-07,1314.69,1315.2,1300.09,1308.33,1308.33,3000000
2023-06-09,1310.12,1316.36,1309.66,1315.23,1315.23,2850000
