Date,Open,High,Low,Close,Adjusted_close,Volume
2022-06-13,12.3,12.3,12.0,12.08,12.08,82180
2022-06-14,12.06,12.18,11.92,12.06,12.06,28548
2022-06-15,12.06,12.1,11.96,12.0,12.0,28356
2022-06-17,11.96,12.1,11.9,12.08,12.08,14622
2022-06-20,12.08,12.22,12.0,12.2,12.2,23307
2022-06-21,12.2,12.46,12.02,12.36,12.36,40526
2022-06-22,12.38,12.5,12.26,12.5,12.5,36221
2022-06-23,12.5,12.5,12.22,12.44,12.44,6163
2022-06-24,12.4,12.74,12.26,12.68,12.68,22393
2022-06-27,12.68,12.86,12.5,12.66,12.66,19513
2022-06-28,12.5,12.82,12.38,12.6,12.6,19196
2022-06-29,12.58,12.6,12.4,12.58,12.58,10515
2022-06-30,12.5,12.78,12.4,12.7,12.7,32283
2022-07-01,12.6,12.8,12.6,12.76,12.76,19603
2022-07-04,12.64,12.7,12.0,12.58,12.58,35275
2022-07-05,12.6,12.9,12.6,12.86,12.86,28283
2022-07-06,12.76,12.9,12.5,12.72,12.72,31716
2022-07-07,12.7,12.78,12.48,12.78,12.78,32851
2022-07-08,12.7,12.8,12.4,12.6,12.6,32193
2022-07-11,12.6,12.76,12.48,12.72,12.72,24448
2022-07-12,12.62,12.7,12.34,12.46,12.46,49752
2022-07-13,12.68,12.7,12.52,12.68,12.68,18952
2022-07-14,12.7,12.72,12.42,12.68,12.68,32619
2022-07-15,12.62,12.7,12.54,12.64,12.64,14208
2022-07-18,12.56,12.72,12.52,12.72,12.72,41255
2022-07-19,12.72,12.8,12.56,12.8,12.8,17195
2022-07-20,12.8,12.88,12.72,12.86,12.86,9362
2022-07-21,12.7,12.9,12.7,12.9,12.9,10140
2022-07-22,12.92,13.0,12.8,12.9,12.9,14712
2022-07-25,12.9,13.04,12.88,12.9,12.9,16998
2022-07-26,12.9,13.04,12.9,13.04,13.04,12457
2022-07-27,13.0,13.08,12.92,13.02,13.02,10586
2022-07-28,13.02,13.06,12.96,13.04,13.04,6513
2022-07-29,12.98,13.1,12.98,13.0,13.0,13114
2022-08-01,13.0,13.28,12.96,13.26,13.26,29624
2022-08-02,13.18,13.3,13.1,13.22,13.22,6167
2022-08-03,13.26,13.28,13.12,13.28,13.28,2466
2022-08-04,13.1,13.26,13.02,13.02,13.02,17658
2022-08-05,13.16,13.26,13.06,13.2,13.2,17242
2022-08-08,13.22,13.48,13.2,13.42,13.42,36252
2022-08-09,13.48,13.48,13.3,13.4,13.4,11214
2022-08-10,13.4,13.46,13.36,13.46,13.46,11651
2022-08-11,13.4,13.76,13.4,13.7,13.7,58120
2022-08-12,13.8,13.96,13.72,13.88,13.88,42904
2022-08-16,14.0,14.1,13.92,14.02,14.02,31722
2022-08-17,14.14,14.2,14.02,14.06,14.06,28732
2022-08-18,14.1,14.16,14.02,14.16,14.16,14128
2022-08-19,14.06,14.12,13.82,13.9,13.9,40470
2022-08-22,14.0,14.0,13.8,13.94,13.94,73457
2022-08-23,13.94,14.0,13.82,13.92,13.92,45774
2022-08-24,13.92,14.0,13.88,14.0,14.0,9203
2022-08-25,13.98,14.0,13.84,13.98,13.98,21044
2022-08-26,13.84,13.92,13.82,13.9,13.9,9573
2022-08-29,13.82,13.82,12.86,13.4,13.4,49787
2022-08-30,13.28,13.66,13.22,13.48,13.48,18743
2022-08-31,13.46,13.6,13.24,13.42,13.42,26853
2022-09-01,13.34,13.66,12.96,13.4,13.4,47495
2022-09-02,13.42,13.44,13.26,13.4,13.4,17606
2022-09-05,13.4,13.44,13.2,13.38,13.38,12966
2022-09-06,13.28,13.46,13.28,13.46,13.46,28234
2022-09-07,13.46,13.5,13.28,13.5,13.5,11433
2022-09-08,13.48,13.58,13.4,13.54,13.54,18543
2022-09-09,13.52,13.58,13.42,13.58,13.58,21974
2022-09-12,13.56,13.74,13.48,13.68,13.68,16987
2022-09-13,13.46,13.72,13.46,13.6,13.6,22767
2022-09-14,13.4,13.6,13.38,13.52,13.52,15927
2022-09-15,13.52,13.64,13.52,13.62,13.62,9293
2022-09-16,13.6,13.62,13.04,13.62,13.62,17965
2022-09-19,13.4,13.6,13.4,13.54,13.54,14216
2022-09-20,13.52,13.62,13.52,13.52,13.52,28341
2022-09-21,13.48,13.7,13.48,13.56,13.56,9217
2022-09-22,13.62,13.76,13.62,13.76,13.76,5725
2022-09-23,13.78,13.9,13.6,13.8,13.8,26794
2022-09-26,13.7,13.86,13.52,13.7,13.7,38222
2022-09-27,13.56,13.76,13.56,13.76,13.76,14628
2022-09-28,13.9,14.08,13.84,14.08,14.08,72115
2022-09-29,14.08,14.12,13.7,13.72,13.72,37543
2022-09-30,13.8,13.8,13.64,13.72,13.72,22487
2022-10-03,13.8,13.8,13.12,13.78,13.78,53434
2022-10-04,13.64,13.78,13.52,13.78,13.78,44065
2022-10-05,13.78,13.78,13.54,13.58,13.58,15378
2022-10-06,13.56,13.68,13.5,13.5,13.5,20260
2022-10-07,13.5,13.64,13.42,13.44,13.44,29107
2022-10-10,13.42,13.5,13.4,13.4,13.4,21055
2022-10-11,13.38,13.56,13.36,13.36,13.36,20034
2022-10-12,13.5,13.5,13.4,13.48,13.48,5667
2022-10-13,13.1,13.4,13.02,13.28,13.28,44516
2022-10-14,13.22,13.5,13.2,13.5,13.5,14476
2022-10-17,13.58,13.62,13.42,13.5,13.5,12268
2022-10-18,13.44,13.6,13.3,13.42,13.42,26444
2022-10-19,13.44,13.5,13.36,13.4,13.4,8059
2022-10-20,13.48,13.5,13.36,13.48,13.48,3733
2022-10-21,13.4,13.5,13.32,13.5,13.5,4215
2022-10-24,13.26,13.48,13.26,13.3,13.3,3256
2022-10-25,13.28,13.5,13.28,13.4,13.4,4494
2022-10-26,13.36,13.5,13.32,13.4,13.4,8523
2022-10-27,13.42,13.8,13.42,13.6,13.6,25035
2022-10-28,13.6,13.98,13.6,13.96,13.96,16075
2022-10-31,13.98,14.2,13.82,14.0,14.0,42320
2022-11-02,14.0,14.44,13.9,14.38,14.38,75296
2022-11-03,14.38,14.44,14.0,14.1,14.1,33364
2022-11-04,14.2,14.2,13.96,14.16,14.16,34836
2022-11-07,14.0,14.38,13.68,13.68,13.68,70012
2022-11-08,13.7,14.18,13.7,14.16,14.16,17786
2022-11-09,14.16,14.16,13.8,14.0,14.0,14781
2022-11-10,14.0,14.0,13.86,14.0,14.0,19976
2022-11-14,13.9,14.1,13.86,14.0,14.0,29679
2022-11-15,14.12,14.12,13.78,13.88,13.88,88709
2022-11-16,13.88,14.2,13.88,14.14,14.14,64965
2022-11-17,14.14,14.14,14.0,14.14,14.14,17377
2022-11-18,14.14,14.14,14.0,14.12,14.12,25058
2022-11-21,14.12,14.12,14.0,14.08,14.08,18495
2022-11-22,14.02,14.08,13.92,13.92,13.92,14484
2022-11-23,13.9,14.06,13.9,14.0,14.0,38252
2022-11-24,14.0,14.8,13.92,14.48,14.48,181905
2022-11-25,14.46,14.8,14.38,14.7,14.7,62023
2022-11-28,14.7,15.3,14.7,15.1,15.1,74264
2022-11-29,15.1,15.1,14.74,14.9,14.9,18648
2022-11-30,14.8,15.24,14.8,15.02,15.02,37126
2022-12-01,15.0,15.12,14.86,14.98,14.98,33245
2022-12-02,15.08,15.08,14.9,15.02,15.02,18877
2022-12-05,14.9,15.06,14.56,14.84,14.84,56566
2022-12-06,14.7,14.94,14.62,14.64,14.64,30835
2022-12-07,14.7,14.98,14.6,14.7,14.7,22508
2022-12-08,14.66,14.94,14.66,14.94,14.94,18597
2022-12-09,15.0,15.3,14.98,15.16,15.16,58884
2022-12-12,15.18,15.26,15.04,15.06,15.06,39866
2022-12-13,15.02,15.18,14.98,15.1,15.1,16553
2022-12-14,15.1,15.18,15.02,15.08,15.08,4744
2022-12-15,15.02,15.1,14.9,14.96,14.96,16652
2022-12-16,14.92,15.22,14.8,15.08,15.08,20977
2022-12-19,15.16,15.16,14.74,15.08,15.08,8294
2022-12-20,15.2,15.2,14.98,15.08,15.08,10297
2022-12-21,15.02,15.08,14.84,15.0,15.0,8173
2022-12-22,15.08,15.14,14.9,15.0,15.0,13519
2022-12-23,15.06,15.08,14.96,15.08,15.08,12917
2022-12-27,15.06,15.06,14.9,15.04,15.04,15740
2022-12-28,14.94,15.04,14.74,14.84,14.84,23030
2022-12-29,15.0,15.14,14.8,15.08,15.08,17405
2022-12-30,15.06,15.08,14.86,15.0,15.0,30552
2023-01-02,14.88,14.98,14.88,14.9,14.9,25237
2023-01-03,14.96,14.96,14.8,14.84,14.84,42074
2023-01-04,14.84,14.9,14.7,14.86,14.86,44303
2023-01-05,14.76,15.0,14.74,14.8,14.8,123932
2023-01-09,14.74,14.88,14.7,14.76,14.76,35332
2023-01-10,14.66,14.84,14.32,14.7,14.7,48559
2023-01-11,14.6,14.7,14.44,14.7,14.7,11243
2023-01-12,14.6,14.7,14.42,14.58,14.58,16278
2023-01-13,14.5,14.6,14.2,14.54,14.54,30761
