Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-21,14.12,14.12,14.0,14.08,14.08,18495
2022-11-22,14.02,14.08,13.92,13.92,13.92,14484
2022-11-23,13.9,14.06,13.9,14.0,14.0,38252
2022-11-24,14.0,14.8,13.92,14.48,14.48,181905
2022-11-25,14.46,14.8,14.38,14.7,14.7,62023
2022-11-28,14.7,15.3,14.7,15.1,15.1,74264
2022-11-29,15.1,15.1,14.74,14.9,14.9,18648
2022-11-30,14.8,15.24,14.8,15.02,15.02,37126
2022-12-01,15.0,15.12,14.86,14.98,14.98,33245
2022-12-02,15.08,15.08,14.9,15.02,15.02,18877
2022-12-05,14.9,15.06,14.56,14.84,14.84,56566
2022-12-06,14.7,14.94,14.62,14.64,14.64,30835
2022-12-07,14.7,14.98,14.6,14.7,14.7,22508
2022-12-08,14.66,14.94,14.66,14.94,14.94,18597
2022-12-09,15.0,15.3,14.98,15.16,15.16,58884
2022-12-12,15.18,15.26,15.04,15.06,15.06,39866
2022-12-13,15.02,15.18,14.98,15.1,15.1,16553
2022-12-14,15.1,15.18,15.02,15.08,15.08,4744
2022-12-15,15.02,15.1,14.9,14.96,14.96,16652
2022-12-16,14.92,15.22,14.8,15.08,15.08,20977
2022-12-19,15.16,15.16,14.74,15.08,15.08,8294
2022-12-20,15.2,15.2,14.98,15.08,15.08,10297
2022-12-21,15.02,15.08,14.84,15.0,15.0,8173
2022-12-22,15.08,15.14,14.9,15.0,15.0,13519
2022-12-23,15.06,15.08,14.96,15.08,15.08,12917
2022-12-27,15.06,15.06,14.9,15.04,15.04,15740
2022-12-28,14.94,15.04,14.74,14.84,14.84,23030
2022-12-29,15.0,15.14,14.8,15.08,15.08,17405
2022-12-30,15.06,15.08,14.86,15.0,15.0,30552
2023-01-02,14.88,14.98,14.88,14.9,14.9,25237
2023-01-03,14.96,14.96,14.8,14.84,14.84,42074
2023-01-04,14.84,14.9,14.7,14.86,14.86,44303
2023-01-05,14.76,15.0,14.74,14.8,14.8,123932
2023-01-09,14.74,14.88,14.7,14.76,14.76,35332
2023-01-10,14.66,14.84,14.32,14.7,14.7,48559
2023-01-11,14.6,14.7,14.44,14.7,14.7,11243
2023-01-12,14.6,14.7,14.42,14.58,14.58,16278
2023-01-13,14.5,14.6,14.2,14.54,14.54,30761
2023-01-16,14.56,15.0,14.56,14.9,14.9,20853
2023-01-17,14.9,14.94,14.6,14.92,14.92,14506
2023-01-18,14.9,15.0,14.86,14.92,14.92,14498
2023-01-19,14.9,14.92,14.74,14.76,14.76,33444
2023-01-20,14.8,14.92,14.8,14.86,14.86,14981
2023-01-23,14.88,14.9,14.76,14.8,14.8,27521
2023-01-24,14.92,15.04,14.88,14.88,14.88,15445
2023-01-25,14.86,15.0,14.8,14.9,14.9,16987
2023-01-26,14.82,15.0,14.82,15.0,15.0,8347
2023-01-27,15.04,15.04,14.92,15.0,15.0,8152
2023-01-30,15.0,15.0,14.84,14.98,14.98,7877
2023-01-31,15.0,15.0,14.9,14.9,14.9,7064
2023-02-01,14.88,15.0,14.86,14.88,14.88,14406
2023-02-02,14.88,15.04,14.88,15.02,15.02,23447
2023-02-03,15.02,16.2,15.0,15.74,15.74,89710
2023-02-06,15.8,16.0,15.52,15.88,15.88,52246
2023-02-07,15.88,15.88,15.52,15.7,15.7,13847
2023-02-08,15.7,15.86,15.42,15.5,15.5,24762
2023-02-09,15.44,15.96,15.44,15.88,15.88,25029
2023-02-10,15.88,15.94,15.6,15.76,15.76,14646
2023-02-13,15.72,15.9,15.6,15.7,15.7,19841
2023-02-14,15.62,15.9,15.62,15.9,15.9,11346
2023-02-15,15.9,16.0,15.88,15.9,15.9,20680
2023-02-16,16.0,16.34,15.9,16.3,16.3,39972
2023-02-17,16.26,16.36,16.1,16.36,16.36,17421
2023-02-20,16.32,16.4,16.1,16.4,16.4,10088
2023-02-21,16.3,16.4,16.14,16.34,16.34,7589
2023-02-22,16.2,16.3,16.0,16.18,16.18,10596
2023-02-23,16.18,16.28,16.02,16.14,16.14,12242
2023-02-24,16.16,16.28,16.02,16.2,16.2,7789
2023-02-27,16.2,16.34,16.04,16.24,16.24,14673
2023-02-28,16.3,16.34,16.08,16.3,16.3,12634
2023-03-01,16.36,16.36,16.14,16.28,16.28,12397
2023-03-02,16.3,16.34,16.1,16.32,16.32,15883
2023-03-03,16.32,16.6,16.28,16.58,16.58,37293
2023-03-06,16.58,17.26,16.58,17.22,17.22,59414
2023-03-07,17.28,17.56,17.16,17.54,17.54,58202
2023-03-08,17.0,17.72,16.9,17.7,17.7,57894
2023-03-09,17.7,18.0,17.2,17.98,17.98,49973
