Date,Open,High,Low,Close,Adjusted_close,Volume
2022-09-14,2.56,2.565,2.56,2.565,2.565,9994
2022-09-15,2.58,2.58,2.565,2.57,2.57,24327
2022-09-16,2.565,2.57,2.475,2.525,2.525,33845
2022-09-19,2.535,2.54,2.48,2.53,2.53,11163
2022-09-20,2.515,2.525,2.5,2.525,2.525,103757
2022-09-21,2.53,2.58,2.5,2.58,2.58,112126
2022-09-22,2.58,2.58,2.53,2.58,2.58,48811
2022-09-23,2.535,2.58,2.535,2.58,2.58,17543
2022-09-26,2.57,2.57,2.54,2.56,2.56,42966
2022-09-27,2.55,2.55,2.53,2.55,2.55,18519
2022-09-28,2.575,2.585,2.525,2.585,2.585,55460
2022-09-29,2.55,2.58,2.525,2.575,2.575,80644
2022-09-30,2.56,2.57,2.54,2.57,2.57,48822
2022-10-03,2.595,2.595,2.495,2.54,2.54,84497
2022-10-04,2.55,2.565,2.5,2.55,2.55,119977
2022-10-05,2.51,2.54,2.5,2.54,2.54,26763
2022-10-06,2.5,2.54,2.5,2.515,2.515,22915
2022-10-07,2.53,2.54,2.5,2.535,2.535,29281
2022-10-10,2.535,2.54,2.49,2.51,2.51,17545
2022-10-11,2.53,2.54,2.52,2.54,2.54,19302
2022-10-12,2.51,2.54,2.51,2.54,2.54,29333
2022-10-13,2.53,2.54,2.52,2.54,2.54,36145
2022-10-14,2.54,2.55,2.51,2.55,2.55,44891
2022-10-17,2.55,2.55,2.525,2.55,2.55,39255
2022-10-18,2.55,2.565,2.52,2.54,2.54,93168
2022-10-19,2.52,2.55,2.52,2.545,2.545,8233
2022-10-20,2.545,2.55,2.505,2.55,2.55,11334
2022-10-21,2.55,2.55,2.55,2.55,2.55,15003
2022-10-24,2.55,2.55,2.52,2.55,2.55,22063
2022-10-25,2.55,2.58,2.505,2.545,2.545,109467
2022-10-26,2.535,2.545,2.52,2.545,2.545,5799
2022-10-27,2.54,2.55,2.53,2.55,2.55,20763
2022-10-28,2.565,2.565,2.52,2.56,2.56,91288
2022-10-31,2.56,2.56,2.53,2.56,2.56,7050
2022-11-02,2.56,2.57,2.55,2.57,2.57,48351
2022-11-03,2.55,2.59,2.55,2.56,2.56,60759
2022-11-04,2.545,2.66,2.545,2.655,2.655,41170
2022-11-07,2.67,2.68,2.65,2.68,2.68,20995
2022-11-08,2.68,2.7,2.68,2.695,2.695,23417
2022-11-09,2.685,2.695,2.66,2.69,2.69,17421
2022-11-10,2.685,2.685,2.64,2.68,2.68,34902
2022-11-14,2.68,2.69,2.64,2.66,2.66,66728
2022-11-15,2.68,2.69,2.635,2.665,2.665,62303
2022-11-16,2.63,2.64,2.61,2.64,2.64,56922
2022-11-17,2.64,2.68,2.63,2.67,2.67,34602
2022-11-18,2.65,2.7,2.65,2.69,2.69,49666
2022-11-21,2.69,2.72,2.68,2.71,2.71,48827
2022-11-22,2.725,2.725,2.59,2.61,2.61,111996
2022-11-23,2.62,2.65,2.58,2.58,2.58,98371
2022-11-24,2.64,2.64,2.52,2.58,2.58,139465
2022-11-25,2.6,2.62,2.58,2.61,2.61,40506
2022-11-28,2.61,2.63,2.6,2.615,2.615,46036
2022-11-29,2.62,2.64,2.595,2.62,2.62,41119
2022-11-30,2.63,2.63,2.55,2.6,2.6,94970
2022-12-01,2.62,2.63,2.59,2.625,2.625,212117
2022-12-02,2.63,2.64,2.6,2.64,2.64,230448
2022-12-05,2.64,2.7,2.63,2.68,2.68,111608
2022-12-06,2.69,2.695,2.66,2.69,2.69,51998
2022-12-07,2.69,2.695,2.66,2.695,2.695,40579
2022-12-08,2.695,2.7,2.65,2.68,2.68,131387
2022-12-09,2.68,2.69,2.66,2.66,2.66,18283
2022-12-12,2.66,2.675,2.645,2.675,2.675,24763
2022-12-13,2.665,2.67,2.64,2.67,2.67,50002
2022-12-14,2.67,2.68,2.645,2.65,2.65,80369
2022-12-15,2.65,2.65,2.61,2.64,2.64,22117
2022-12-16,2.64,2.64,2.61,2.63,2.63,27302
2022-12-19,2.615,2.62,2.605,2.62,2.62,15707
2022-12-20,2.6,2.64,2.6,2.62,2.62,52684
2022-12-21,2.62,2.645,2.61,2.63,2.63,59402
2022-12-22,2.63,2.63,2.6,2.625,2.625,21273
2022-12-23,2.6,2.62,2.585,2.61,2.61,27979
2022-12-27,2.6,2.61,2.55,2.56,2.56,145472
2022-12-28,2.58,2.58,2.55,2.56,2.56,91202
2022-12-29,2.56,2.645,2.56,2.645,2.645,42053
2022-12-30,2.65,2.685,2.595,2.685,2.685,52756
2023-01-02,2.63,2.69,2.63,2.64,2.64,30178
2023-01-03,2.69,2.69,2.64,2.64,2.64,31166
2023-01-04,2.65,2.66,2.64,2.645,2.645,30840
2023-01-05,2.66,2.66,2.64,2.655,2.655,56968
2023-01-09,2.655,2.66,2.64,2.645,2.645,71565
2023-01-10,2.65,2.66,2.645,2.65,2.65,143746
2023-01-11,2.655,2.655,2.645,2.645,2.645,36295
2023-01-12,2.65,2.655,2.645,2.65,2.65,68571
2023-01-13,2.65,2.66,2.645,2.645,2.645,227181
2023-01-16,2.65,2.66,2.645,2.655,2.655,84785
2023-01-17,2.655,2.66,2.65,2.66,2.66,37065
2023-01-18,2.66,2.66,2.645,2.66,2.66,39800
2023-01-19,2.67,2.685,2.66,2.685,2.685,67355
2023-01-20,2.685,2.87,2.685,2.865,2.865,197623
2023-01-23,2.87,2.87,2.81,2.86,2.86,95651
2023-01-24,2.85,2.88,2.85,2.88,2.88,40715
2023-01-25,2.86,2.9,2.825,2.88,2.88,58068
2023-01-26,2.895,2.985,2.88,2.97,2.97,54229
2023-01-27,2.98,2.985,2.91,2.91,2.91,33072
2023-01-30,2.91,2.98,2.91,2.97,2.97,43016
2023-01-31,2.95,2.975,2.935,2.97,2.97,19782
2023-02-01,2.97,2.97,2.94,2.96,2.96,31646
2023-02-02,2.96,2.96,2.9,2.935,2.935,39620
2023-02-03,2.94,2.94,2.9,2.91,2.91,27569
2023-02-06,2.9,2.915,2.815,2.84,2.84,58046
2023-02-07,2.84,2.88,2.775,2.79,2.79,53059
2023-02-08,2.83,2.89,2.795,2.81,2.81,55212
2023-02-09,2.88,2.88,2.79,2.8,2.8,25173
2023-02-10,2.795,2.84,2.795,2.8,2.8,13633
2023-02-13,2.84,2.855,2.8,2.845,2.845,35905
2023-02-14,2.85,2.85,2.81,2.835,2.835,12011
2023-02-15,2.84,2.845,2.81,2.83,2.83,36818
2023-02-16,2.84,2.845,2.805,2.83,2.83,13157
