Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-02,11.45,11.45,11.2,11.2,11.0049,4661
2023-02-03,11.45,11.45,11.3,11.35,11.1523,835
2023-02-06,11.35,12.0,11.35,11.95,11.7418,10321
2023-02-07,11.75,12.0,11.65,12.0,11.7909,858
2023-02-08,12.0,12.2,11.95,12.2,11.9875,4129
2023-02-09,12.3,12.9,12.1,12.5,12.2822,8380
2023-02-10,12.5,12.5,11.5,12.25,12.0366,7836
2023-02-13,12.0,12.4,12.0,12.2,11.9875,1321
2023-02-14,12.35,12.35,11.75,11.95,11.7418,2677
2023-02-15,11.95,12.5,11.95,12.5,12.2822,11733
2023-02-16,12.5,12.5,12.2,12.5,12.2822,854
2023-02-17,12.5,12.5,12.5,12.5,12.2822,285
2023-02-20,12.5,12.5,12.45,12.45,12.2331,281
2023-02-21,12.2,12.7,12.2,12.7,12.4787,2025
2023-02-22,12.7,12.7,12.1,12.45,12.2331,1564
2023-02-23,12.3,12.5,12.3,12.5,12.2822,31931
2023-02-24,12.1,12.5,12.05,12.5,12.2822,642
2023-02-27,12.2,12.35,12.05,12.35,12.1348,442
2023-02-28,12.35,12.35,12.3,12.3,12.0857,362
2023-03-01,12.3,12.3,12.3,12.3,12.0857,312
2023-03-02,12.2,12.4,12.05,12.05,11.8401,435
2023-03-03,12.35,12.5,12.05,12.25,12.0366,5778
2023-03-06,12.2,12.45,12.2,12.4,12.184,562
2023-03-07,12.3,12.6,12.15,12.15,11.9383,3036
2023-03-08,12.25,12.7,12.25,12.55,12.3314,5039
2023-03-09,12.55,12.55,12.3,12.5,12.2822,3152
2023-03-10,12.25,12.3,12.25,12.3,12.0857,4971
2023-03-13,12.2,12.25,12.2,12.25,12.0366,1467
2023-03-14,12.4,12.4,12.25,12.25,12.0366,835
2023-03-15,12.2,12.3,12.15,12.3,12.0857,10789
2023-03-16,12.15,12.15,12.15,12.15,11.9383,7338
2023-03-17,12.15,12.3,12.15,12.3,12.0857,3868
2023-03-20,12.3,12.3,12.15,12.15,11.9383,2092
2023-03-21,12.25,13.0,12.15,12.9,12.6753,5866
2023-03-22,12.65,12.65,12.5,12.5,12.2822,361
2023-03-23,12.5,12.5,12.5,12.5,12.2822,538
2023-03-24,12.25,12.5,12.25,12.5,12.2822,182
2023-03-27,12.25,12.5,12.2,12.3,12.0857,354
2023-03-28,12.4,12.6,12.15,12.55,12.3314,1901
2023-03-29,12.5,12.6,12.2,12.3,12.0857,3180
2023-03-30,12.35,12.45,12.3,12.3,12.0857,500
2023-03-31,12.5,12.5,12.5,12.5,12.2822,534
2023-04-03,12.35,12.35,12.3,12.3,12.0857,334
2023-04-04,12.45,12.5,12.25,12.25,12.0366,826
2023-04-05,12.3,12.35,12.3,12.35,12.1348,2085
2023-04-06,12.3,12.6,12.3,12.6,12.3805,722
2023-04-11,12.6,12.6,12.3,12.5,12.2822,1362
2023-04-12,12.3,12.55,12.25,12.55,12.3314,1690
2023-04-13,12.3,12.35,12.25,12.35,12.1348,3745
2023-04-14,12.25,12.5,12.25,12.5,12.2822,1016
2023-04-17,12.25,12.3,12.25,12.3,12.0857,1812
2023-04-18,12.25,12.5,12.25,12.3,12.0857,1470
2023-04-19,12.35,12.5,12.25,12.5,12.2822,1010
2023-04-20,12.25,12.25,12.25,12.25,12.0366,1256
2023-04-21,12.25,12.5,12.25,12.3,12.0857,802
2023-04-24,12.25,12.25,12.25,12.25,12.0366,1898
2023-04-25,12.3,12.3,12.25,12.25,12.0366,125
2023-04-26,12.3,12.5,12.3,12.4,12.184,20453
2023-04-27,12.3,12.4,12.25,12.4,12.184,848
2023-04-28,12.4,12.5,12.4,12.4,12.184,168
2023-05-02,12.2,12.5,12.0,12.35,12.1348,4011
2023-05-04,12.05,12.35,12.05,12.35,12.1348,1048
2023-05-05,12.1,12.3,12.1,12.3,12.0857,2315
2023-05-08,12.1,12.3,12.1,12.3,12.0857,438
2023-05-09,12.15,12.25,12.15,12.15,11.9383,534
2023-05-10,12.25,12.55,12.2,12.2,11.9875,3641
2023-05-11,12.2,12.5,12.2,12.3,12.0857,8313
2023-05-12,12.4,12.5,12.4,12.5,12.2822,790
2023-05-15,12.5,12.5,12.5,12.5,12.2822,307
2023-05-16,12.35,12.6,12.25,12.6,12.3805,1544
2023-05-17,12.6,12.6,12.25,12.25,12.0366,831
2023-05-18,12.25,12.25,12.25,12.25,12.0366,214
2023-05-19,12.25,12.25,12.25,12.25,12.0366,200
