Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-28,71.2,71.3,70.6,71.0,67.7683,5087
2022-11-29,70.5,71.0,70.5,70.9,67.6728,1525
2022-11-30,70.9,71.5,70.8,71.5,68.2455,20046
2022-12-01,71.5,72.7,71.5,72.5,69.2,9470
2022-12-02,72.5,74.0,72.3,73.0,69.6772,11372
2022-12-05,73.0,73.0,72.5,72.8,69.4863,11409
2022-12-06,72.9,73.0,72.4,72.9,69.5818,5568
2022-12-07,72.9,72.9,72.0,72.8,69.4863,1722
2022-12-08,72.6,72.9,72.4,72.9,69.5818,2454
2022-12-09,72.9,72.9,72.1,72.9,69.5818,2105
2022-12-12,73.0,73.0,72.3,72.9,69.5818,1935
2022-12-13,73.0,73.0,72.5,72.7,69.3909,2993
2022-12-14,72.8,72.8,72.3,72.5,69.2,2412
2022-12-15,72.5,72.5,72.0,72.3,69.0091,1977
2022-12-16,72.2,72.4,72.0,72.0,68.7228,5192
2022-12-19,72.5,72.5,72.0,72.5,69.2,4124
2022-12-20,72.4,72.5,72.0,72.2,68.9137,4594
2022-12-21,72.3,72.5,72.1,72.5,69.2,9835
2022-12-22,70.2,70.2,68.9,69.5,69.5,4602
2022-12-23,69.3,70.6,69.3,69.7,69.7,2656
2022-12-27,69.6,69.9,69.0,69.1,69.1,3983
2022-12-28,69.5,69.9,68.2,69.6,69.6,6291
2022-12-29,69.6,69.9,69.3,69.9,69.9,17020
2022-12-30,69.9,70.4,69.8,70.0,70.0,2968
2023-01-02,70.0,70.4,69.5,70.1,70.1,6403
2023-01-03,70.1,70.7,69.9,70.7,70.7,7036
2023-01-04,71.0,72.8,70.7,71.4,71.4,2720
2023-01-05,71.4,71.5,70.8,71.0,71.0,2404
2023-01-09,71.0,73.0,70.9,72.5,72.5,16424
2023-01-10,72.5,72.5,71.2,72.1,72.1,2777
2023-01-11,71.9,72.5,70.0,72.2,72.2,1653
2023-01-12,72.2,72.4,71.0,72.0,72.0,6097
2023-01-13,71.6,71.9,70.8,71.7,71.7,2259
2023-01-16,71.7,71.7,69.9,71.0,71.0,6511
2023-01-17,71.2,71.2,70.6,71.0,71.0,2009
2023-01-18,70.6,71.2,70.6,71.0,71.0,1047
2023-01-19,70.6,72.5,69.9,71.6,71.6,27868
2023-01-20,71.6,72.9,71.2,72.7,72.7,2154
2023-01-23,72.9,72.9,72.0,72.5,72.5,2266
2023-01-24,72.5,72.5,71.4,71.7,71.7,2347
2023-01-25,71.6,71.6,71.0,71.5,71.5,2289
2023-01-26,71.0,71.5,70.5,71.3,71.3,3869
2023-01-27,71.1,71.8,70.9,71.8,71.8,4839
2023-01-30,71.8,72.5,71.4,72.0,72.0,1848
2023-01-31,73.5,75.0,72.5,74.0,74.0,14634
2023-02-01,74.0,75.5,73.0,74.0,74.0,17687
2023-02-02,74.4,74.5,72.5,73.6,73.6,14656
2023-02-03,73.7,74.7,72.8,73.6,73.6,5699
2023-02-06,73.6,74.7,73.3,73.6,73.6,7885
2023-02-07,73.9,74.4,73.6,74.0,74.0,1629
2023-02-08,73.5,74.5,73.5,74.1,74.1,1141
2023-02-09,75.0,75.0,73.9,74.0,74.0,2024
2023-02-10,73.9,75.0,73.5,74.2,74.2,6922
2023-02-13,74.4,75.8,74.0,74.5,74.5,4496
2023-02-14,75.0,75.9,74.2,74.3,74.3,14908
2023-02-15,74.9,75.5,74.7,74.7,74.7,5079
2023-02-16,75.0,75.5,74.0,74.1,74.1,8124
2023-02-17,74.5,75.0,74.0,74.2,74.2,4667
2023-02-20,74.2,75.2,74.2,75.2,75.2,2609
2023-02-21,74.5,75.6,74.5,75.3,75.3,2367
2023-02-22,74.7,75.5,74.3,74.8,74.8,2971
2023-02-23,74.8,75.0,74.6,74.7,74.7,629
2023-02-24,74.7,75.3,74.6,74.6,74.6,395
2023-02-27,75.0,75.0,74.3,74.9,74.9,1673
2023-02-28,74.9,75.3,74.6,74.8,74.8,2893
2023-03-01,75.3,75.8,74.7,75.4,75.4,1552
2023-03-02,75.3,77.0,75.1,77.0,77.0,7360
2023-03-03,77.2,80.4,77.2,80.4,80.4,6909
2023-03-06,81.5,83.9,81.5,82.2,82.2,52308
2023-03-07,82.3,82.6,81.0,82.1,82.1,5076
2023-03-08,81.9,82.0,81.0,82.0,82.0,6175
2023-03-09,81.4,82.2,81.0,82.0,82.0,3406
2023-03-10,81.0,82.0,76.3,79.4,79.4,8671
2023-03-13,79.7,81.6,78.0,79.5,79.5,6424
2023-03-14,79.8,81.6,79.8,80.4,80.4,1593
2023-03-15,81.0,82.0,78.6,79.0,79.0,7609
2023-03-16,82.2,83.4,81.3,81.6,81.6,55684
2023-03-17,82.2,82.2,80.1,80.7,80.7,14853
2023-03-20,81.5,81.5,80.2,80.4,80.4,7362
2023-03-21,81.5,82.2,80.5,82.1,82.1,2579
2023-03-22,82.2,83.0,81.2,82.2,82.2,5770
2023-03-23,82.0,82.7,81.7,81.7,81.7,4652
2023-03-24,81.7,82.2,81.0,82.0,82.0,5877
2023-03-27,82.0,82.2,81.4,81.9,81.9,8291
2023-03-28,81.9,82.0,81.2,81.9,81.9,8789
2023-03-29,82.0,82.1,81.1,81.4,81.4,19016
2023-03-30,81.4,82.0,80.1,81.2,81.2,20062
2023-03-31,81.4,81.4,79.7,80.8,80.8,11234
2023-04-03,80.8,81.2,79.7,80.9,80.9,5317
2023-04-04,80.8,80.8,79.7,80.4,80.4,10655
2023-04-05,80.4,80.4,79.0,79.9,79.9,4953
2023-04-06,79.9,80.3,79.5,80.3,80.3,2175
2023-04-11,80.3,80.4,79.6,80.4,80.4,8222
2023-04-12,80.4,80.9,79.8,80.8,80.8,7491
2023-04-13,80.6,83.3,80.6,83.3,83.3,48354
2023-04-14,83.4,84.5,83.4,84.3,84.3,32684
2023-04-17,84.3,84.3,83.5,84.3,84.3,14181
2023-04-18,84.2,84.3,83.8,84.0,84.0,14515
