Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-15,7.14,7.19,7.0,7.1,7.0218,29310
2023-02-16,7.2,7.3,7.02,7.19,7.1108,43360
2023-02-17,7.18,7.27,7.11,7.24,7.1603,21532
2023-02-20,7.2,7.24,7.1,7.18,7.1009,16245
2023-02-21,7.15,7.19,7.05,7.19,7.1108,10965
2023-02-22,7.05,7.17,6.72,6.8,6.7251,111419
2023-02-23,6.79,6.98,6.79,6.85,6.7746,53267
2023-02-24,7.0,7.09,6.88,6.99,6.913,29525
2023-02-27,7.0,7.0,6.83,6.88,6.8042,24505
2023-02-28,6.9,7.5,6.85,7.41,7.3284,228606
2023-03-01,7.52,7.69,7.52,7.6,7.5163,121492
2023-03-02,7.7,7.81,7.6,7.79,7.7042,185314
2023-03-03,7.8,7.92,7.66,7.82,7.7339,107380
2023-03-06,7.8,7.98,7.79,7.98,7.8921,100951
2023-03-07,8.0,8.2,7.98,8.11,8.0207,135261
2023-03-08,7.98,8.07,7.9,8.0,7.9119,52505
2023-03-09,8.0,8.08,7.9,7.94,7.8526,34549
2023-03-10,7.83,7.85,7.6,7.75,7.6646,45076
2023-03-13,7.73,7.75,7.25,7.55,7.4669,142882
2023-03-14,7.46,7.68,7.46,7.65,7.5657,33525
2023-03-15,7.67,7.86,7.29,7.35,7.2691,97577
2023-03-16,7.4,7.57,7.3,7.46,7.3778,49184
2023-03-17,7.48,7.82,7.48,7.64,7.5559,26258
2023-03-20,7.5,7.54,7.3,7.52,7.4372,96335
2023-03-21,7.42,7.64,7.36,7.49,7.4075,30796
2023-03-22,7.49,7.68,7.45,7.61,7.5262,28716
2023-03-23,7.64,7.77,7.48,7.77,7.6844,27374
2023-03-24,7.78,7.78,7.57,7.7,7.6152,56455
2023-03-27,7.75,7.78,7.55,7.73,7.6449,103441
2023-03-28,7.75,7.79,7.69,7.78,7.6943,43928
2023-03-29,7.79,8.09,7.79,7.99,7.902,97849
2023-03-30,7.99,8.1,7.96,8.08,7.991,72423
2023-03-31,8.11,8.12,8.01,8.1,8.0108,38891
2023-04-03,8.1,8.1,8.01,8.06,7.9712,51114
2023-04-04,7.91,8.06,7.7,8.0,7.9119,89856
2023-04-05,8.09,8.09,7.9,8.03,7.9416,64531
2023-04-06,8.03,8.07,7.96,8.07,7.9811,9974
2023-04-11,8.1,8.55,8.0,8.33,8.2383,97187
2023-04-12,8.31,8.35,8.2,8.3,8.2086,58042
2023-04-13,8.3,8.88,8.3,8.65,8.5547,95860
2023-04-14,8.65,9.0,8.6,8.95,8.8514,90370
2023-04-17,8.95,9.15,8.8,8.99,8.891,123062
2023-04-18,9.05,9.05,8.61,8.69,8.5943,73116
2023-04-19,8.66,8.8,8.6,8.7,8.6042,52110
2023-04-20,8.91,9.38,8.91,9.13,9.0294,202072
2023-04-21,9.1,9.55,9.02,9.5,9.3954,173185
2023-04-24,9.6,9.82,9.26,9.68,9.5734,150566
2023-04-25,9.6,9.84,9.4,9.76,9.6525,109086
2023-04-26,9.7,9.9,9.28,9.9,9.791,138432
2023-04-27,9.8,10.4,9.65,10.28,10.1668,335451
2023-04-28,10.3,10.34,9.95,10.26,10.147,210813
2023-05-02,10.26,10.26,9.9,10.08,9.969,69226
2023-05-04,10.02,10.9,9.9,10.4,10.2855,286168
2023-05-05,10.4,10.58,10.1,10.1,9.9888,128277
2023-05-08,10.1,10.38,9.93,10.2,10.0877,79129
2023-05-09,10.08,10.2,9.94,10.08,9.969,90200
2023-05-10,10.08,10.38,9.95,10.32,10.2063,48599
2023-05-11,10.32,10.38,10.12,10.26,10.147,14982
2023-05-12,10.24,10.42,10.18,10.36,10.2459,36355
2023-05-15,10.2,10.32,9.95,10.04,9.9294,45403
2023-05-16,9.93,10.0,9.54,9.96,9.8503,88642
2023-05-17,10.0,10.24,9.86,9.98,9.8701,22958
2023-05-18,9.96,10.08,9.84,9.87,9.7613,20054
2023-05-19,9.87,10.1,9.8,10.0,9.8899,34610
2023-05-22,10.06,10.18,9.9,10.02,9.9096,16040
2023-05-23,10.14,10.64,10.12,10.48,10.3646,155828
2023-05-24,10.34,10.46,10.14,10.32,10.2063,103715
2023-05-25,9.68,9.68,8.45,8.5,8.4064,998763
2023-05-26,8.6,9.09,8.54,8.81,8.713,202034
2023-05-29,8.86,9.02,8.65,8.75,8.6536,63024
2023-05-30,8.75,8.75,8.21,8.28,8.1888,259619
2023-05-31,8.24,8.32,7.92,7.99,7.902,188039
2023-06-01,7.92,8.45,7.88,8.28,8.1888,148006
2023-06-02,8.28,8.64,8.28,8.59,8.4954,117478
2023-06-05,8.4,8.74,8.37,8.57,8.4756,76931
2023-06-06,8.56,8.56,8.31,8.48,8.3866,83112
2023-06-07,8.47,8.54,8.35,8.35,8.258,36230
2023-06-09,8.35,8.4,8.11,8.15,8.0602,100572
2023-06-12,8.12,8.19,8.03,8.05,7.9613,47071
2023-06-13,8.05,8.11,7.99,8.01,7.9218,31425
2023-06-14,8.0,8.31,7.95,8.1,8.0108,72309
2023-06-15,8.04,8.14,7.98,8.06,7.9712,59046
2023-06-16,8.05,8.53,8.05,8.25,8.1591,110683
2023-06-19,8.25,8.37,8.12,8.13,8.0405,26353
2023-06-20,8.15,8.19,8.05,8.15,8.0602,32471
2023-06-21,8.15,8.18,8.0,8.07,7.9811,47527
2023-06-22,8.08,8.08,7.97,7.97,7.8822,42030
2023-06-23,7.98,7.98,7.8,7.84,7.7537,76341
2023-06-26,7.81,7.97,7.7,7.85,7.7635,56153
2023-06-27,7.85,7.98,7.73,7.82,7.7339,40914
2023-06-28,7.82,7.83,7.7,7.8,7.7141,82452
2023-06-29,7.8,8.35,7.8,8.3,8.2086,145116
2023-06-30,8.32,8.32,8.08,8.12,8.0306,57311
2023-07-03,8.1,8.24,8.0,8.13,8.0405,53513
2023-07-04,8.14,8.29,8.06,8.28,8.1888,33709
