Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-18,69.5,69.8,68.4,69.0,65.8593,39694
2022-08-19,68.5,70.4,68.5,70.3,67.1001,36929
2022-08-22,69.5,70.8,69.5,70.8,67.5774,4732
2022-08-23,70.6,70.8,70.0,70.5,67.291,1561
2022-08-24,70.9,71.2,69.7,71.2,67.9592,4472
2022-08-25,70.4,71.4,70.2,71.4,68.1501,1445
2022-08-26,70.3,71.4,70.3,71.3,68.0546,3031
2022-08-29,71.2,71.2,70.3,70.8,67.5774,741
2022-08-30,70.3,70.7,69.7,70.7,67.4819,2442
2022-08-31,70.9,70.9,70.1,70.2,67.0047,1231
2022-09-01,70.2,70.7,70.1,70.1,66.9092,4506
2022-09-02,70.0,70.5,69.7,70.1,66.9092,929
2022-09-05,70.0,71.2,70.0,71.2,67.9592,1514
2022-09-06,71.0,71.0,70.3,70.3,67.1001,3764
2022-09-07,70.2,71.4,70.2,71.4,68.1501,945
2022-09-08,70.6,71.4,70.3,71.4,68.1501,558
2022-09-09,71.4,71.4,70.1,70.3,67.1001,1387
2022-09-12,70.3,70.9,70.1,70.4,67.1956,1408
2022-09-13,70.1,70.5,70.1,70.5,67.291,364
2022-09-14,70.1,70.8,70.1,70.8,67.5774,521
2022-09-15,70.9,71.5,70.4,71.5,68.2455,1158
2022-09-16,71.0,71.6,70.8,71.6,68.341,1522
2022-09-19,70.8,72.0,70.8,72.0,68.7228,3269
2022-09-20,72.0,72.3,71.0,72.0,68.7228,1844
2022-09-21,71.2,72.2,71.2,72.0,68.7228,725
2022-09-22,71.2,72.0,71.2,72.0,68.7228,226
2022-09-23,71.3,71.8,70.9,71.8,68.5319,595
2022-09-26,70.6,71.7,70.1,70.7,67.4819,8723
2022-09-27,70.0,70.1,68.4,69.7,66.5274,3298
2022-09-28,69.4,69.6,68.8,69.6,66.432,932
2022-09-29,69.4,69.4,68.4,69.2,66.0502,7739
2022-09-30,68.5,70.6,68.5,70.6,67.3865,3724
2022-10-03,70.0,70.0,68.5,69.7,66.5274,591
2022-10-04,68.9,69.4,68.2,68.4,65.2866,2719
2022-10-05,68.4,68.5,68.2,68.5,65.3821,4333
2022-10-06,68.4,68.5,68.3,68.4,65.2866,1549
2022-10-07,67.8,68.0,67.0,67.8,64.7139,41134
2022-10-10,67.8,68.2,67.8,67.8,64.7139,15693
2022-10-11,68.3,68.3,67.2,68.3,65.1912,207
2022-10-12,66.4,67.2,63.0,65.4,62.4232,100573
2022-10-13,65.0,65.4,63.2,64.0,61.0869,5353
2022-10-14,63.7,65.0,62.5,62.5,59.6552,3198
2022-10-17,62.4,63.9,61.5,62.4,59.5597,8783
2022-10-18,62.4,64.6,62.4,64.6,61.6596,1104
2022-10-19,64.6,65.0,63.2,63.2,60.3233,2068
2022-10-20,63.2,66.0,63.2,65.0,62.0414,5306
2022-10-21,65.1,67.4,65.1,66.0,62.9959,4301
2022-10-24,65.9,66.1,65.0,66.0,62.9959,2493
2022-10-25,66.0,67.0,65.0,66.8,63.7594,3017
2022-10-26,66.3,67.0,65.9,67.0,63.9503,1029
2022-10-27,66.2,67.0,65.2,65.2,62.2323,2212
2022-10-28,66.6,66.6,64.7,65.8,62.805,1207
2022-10-31,65.8,66.8,65.0,66.3,63.2822,4921
2022-11-02,66.3,67.8,66.3,67.0,63.9503,3176
2022-11-03,67.0,67.3,65.3,66.4,63.3777,2556
2022-11-04,66.9,67.0,65.5,66.5,63.4731,4486
2022-11-07,66.6,66.6,66.0,66.5,63.4731,2438
2022-11-08,66.8,67.7,66.7,67.7,64.6185,8611
2022-11-09,68.1,68.4,67.3,67.7,64.6185,2936
2022-11-10,67.8,68.0,67.0,67.7,64.6185,2807
2022-11-14,67.7,68.4,67.6,67.9,64.8094,3315
2022-11-15,68.1,68.6,67.8,68.3,65.1912,9468
2022-11-16,67.5,71.2,67.5,69.5,66.3366,8750
2022-11-17,70.6,71.3,69.4,70.6,67.3865,4335
2022-11-18,70.8,70.8,69.5,70.5,67.291,1174
2022-11-21,70.3,71.1,69.7,69.9,66.7183,10113
2022-11-22,70.5,70.7,69.7,70.7,67.4819,3954
2022-11-23,70.8,73.0,70.8,71.6,68.341,25376
2022-11-24,72.7,72.7,70.8,71.1,67.8637,87403
2022-11-25,71.1,71.5,70.8,71.0,67.7683,13011
2022-11-28,71.2,71.3,70.6,71.0,67.7683,5087
2022-11-29,70.5,71.0,70.5,70.9,67.6728,1525
2022-11-30,70.9,71.5,70.8,71.5,68.2455,20046
2022-12-01,71.5,72.7,71.5,72.5,69.2,9470
2022-12-02,72.5,74.0,72.3,73.0,69.6772,11372
2022-12-05,73.0,73.0,72.5,72.8,69.4863,11409
2022-12-06,72.9,73.0,72.4,72.9,69.5818,5568
2022-12-07,72.9,72.9,72.0,72.8,69.4863,1722
2022-12-08,72.6,72.9,72.4,72.9,69.5818,2454
2022-12-09,72.9,72.9,72.1,72.9,69.5818,2105
2022-12-12,73.0,73.0,72.3,72.9,69.5818,1935
2022-12-13,73.0,73.0,72.5,72.7,69.3909,2993
2022-12-14,72.8,72.8,72.3,72.5,69.2,2412
2022-12-15,72.5,72.5,72.0,72.3,69.0091,1977
2022-12-16,72.2,72.4,72.0,72.0,68.7228,5192
2022-12-19,72.5,72.5,72.0,72.5,69.2,4124
2022-12-20,72.4,72.5,72.0,72.2,68.9137,4594
2022-12-21,72.3,72.5,72.1,72.5,69.2,9835
2022-12-22,70.2,70.2,68.9,69.5,69.5,4602
2022-12-23,69.3,70.6,69.3,69.7,69.7,2656
2022-12-27,69.6,69.9,69.0,69.1,69.1,3983
2022-12-28,69.5,69.9,68.2,69.6,69.6,6291
2022-12-29,69.6,69.9,69.3,69.9,69.9,17020
2022-12-30,69.9,70.4,69.8,70.0,70.0,2968
2023-01-02,70.0,70.4,69.5,70.1,70.1,6403
2023-01-03,70.1,70.7,69.9,70.7,70.7,7036
2023-01-04,71.0,72.8,70.7,71.4,71.4,2720
2023-01-05,71.4,71.5,70.8,71.0,71.0,2404
2023-01-09,71.0,73.0,70.9,72.5,72.5,16424
2023-01-10,72.5,72.5,71.2,72.1,72.1,2777
2023-01-11,71.9,72.5,70.0,72.2,72.2,1653
2023-01-12,72.2,72.4,71.0,72.0,72.0,6097
2023-01-13,71.6,71.9,70.8,71.7,71.7,2259
2023-01-16,71.7,71.7,69.9,71.0,71.0,6511
2023-01-17,71.2,71.2,70.6,71.0,71.0,2009
2023-01-18,70.6,71.2,70.6,71.0,71.0,1047
2023-01-19,70.6,72.5,69.9,71.6,71.6,27868
2023-01-20,71.6,72.9,71.2,72.7,72.7,2154
2023-01-23,72.9,72.9,72.0,72.5,72.5,2266
2023-01-24,72.5,72.5,71.4,71.7,71.7,2347
2023-01-25,71.6,71.6,71.0,71.5,71.5,2289
2023-01-26,71.0,71.5,70.5,71.3,71.3,3869
2023-01-27,71.1,71.8,70.9,71.8,71.8,4839
2023-01-30,71.8,72.5,71.4,72.0,72.0,1848
2023-01-31,73.5,75.0,72.5,74.0,74.0,14634
2023-02-01,74.0,75.5,73.0,74.0,74.0,17687
2023-02-02,74.4,74.5,72.5,73.6,73.6,14656
2023-02-03,73.7,74.7,72.8,73.6,73.6,5699
2023-02-06,73.6,74.7,73.3,73.6,73.6,7885
2023-02-07,73.9,74.4,73.6,74.0,74.0,1629
2023-02-08,73.5,74.5,73.5,74.1,74.1,1141
2023-02-09,75.0,75.0,73.9,74.0,74.0,2024
2023-02-10,73.9,75.0,73.5,74.2,74.2,6922
2023-02-13,74.4,75.8,74.0,74.5,74.5,4496
2023-02-14,75.0,75.9,74.2,74.3,74.3,14908
2023-02-15,74.9,75.5,74.7,74.7,74.7,5079
2023-02-16,75.0,75.5,74.0,74.1,74.1,8124
2023-02-17,74.5,75.0,74.0,74.2,74.2,4667
2023-02-20,74.2,75.2,74.2,75.2,75.2,2609
2023-02-21,74.5,75.6,74.5,75.3,75.3,2367
2023-02-22,74.7,75.5,74.3,74.8,74.8,2971
2023-02-23,74.8,75.0,74.6,74.7,74.7,629
2023-02-24,74.7,75.3,74.6,74.6,74.6,395
2023-02-27,75.0,75.0,74.3,74.9,74.9,1673
2023-02-28,74.9,75.3,74.6,74.8,74.8,2893
2023-03-01,75.3,75.8,74.7,75.4,75.4,1552
2023-03-02,75.3,77.0,75.1,77.0,77.0,7360
2023-03-03,77.2,80.4,77.2,80.4,80.4,6909
2023-03-06,81.5,83.9,81.5,82.2,82.2,52308
2023-03-07,82.3,82.6,81.0,82.1,82.1,5076
2023-03-08,81.9,82.0,81.0,82.0,82.0,6175
2023-03-09,81.4,82.2,81.0,82.0,82.0,3406
2023-03-10,81.0,82.0,76.3,79.4,79.4,8671
2023-03-13,79.7,81.6,78.0,79.5,79.5,6424
2023-03-14,79.8,81.6,79.8,80.4,80.4,1593
2023-03-15,81.0,82.0,78.6,79.0,79.0,7609
2023-03-16,82.2,83.4,81.3,81.6,81.6,55684
2023-03-17,82.2,82.2,80.1,80.7,80.7,14853
2023-03-20,81.5,81.5,80.2,80.4,80.4,7362
2023-03-21,81.5,82.2,80.5,82.1,82.1,2579
2023-03-22,82.2,83.0,81.2,82.2,82.2,5770
2023-03-23,82.0,82.7,81.7,81.7,81.7,4652
2023-03-24,81.7,82.2,81.0,82.0,82.0,5877
2023-03-27,82.0,82.2,81.4,81.9,81.9,8291
2023-03-28,81.9,82.0,81.2,81.9,81.9,8789
2023-03-29,82.0,82.1,81.1,81.4,81.4,19016
2023-03-30,81.4,82.0,80.1,81.2,81.2,20062
2023-03-31,81.4,81.4,79.7,80.8,80.8,11234
2023-04-03,80.8,81.2,79.7,80.9,80.9,5317
2023-04-04,80.8,80.8,79.7,80.4,80.4,10655
2023-04-05,80.4,80.4,79.0,79.9,79.9,4953
2023-04-06,79.9,80.3,79.5,80.3,80.3,2175
2023-04-11,80.3,80.4,79.6,80.4,80.4,8222
2023-04-12,80.4,80.9,79.8,80.8,80.8,7491
2023-04-13,80.6,83.3,80.6,83.3,83.3,48354
2023-04-14,83.4,84.5,83.4,84.3,84.3,32684
2023-04-17,84.3,84.3,83.5,84.3,84.3,14181
2023-04-18,84.2,84.3,83.8,84.0,84.0,14515
2023-04-19,84.5,85.6,83.8,85.0,85.0,13339
2023-04-20,85.1,86.0,85.0,85.9,85.9,10958
2023-04-21,84.9,84.9,82.0,83.0,83.0,86058
2023-04-24,83.0,84.0,81.6,83.9,83.9,28386
2023-04-25,84.0,86.6,83.8,86.4,86.4,28627
2023-04-26,78.9,81.8,77.7,79.3,79.3,223825
2023-04-27,79.0,83.4,78.6,83.4,83.4,127342
2023-04-28,79.3,80.9,77.4,77.9,77.9,92318
2023-05-02,77.9,82.8,77.6,81.7,81.7,80034
2023-05-04,82.0,82.6,79.3,80.5,80.5,30104
2023-05-05,80.4,81.5,80.2,81.0,81.0,12227
2023-05-08,80.3,81.4,80.3,81.4,81.4,5930
2023-05-09,81.4,82.6,80.7,82.0,82.0,7017
2023-05-10,82.1,82.1,80.6,81.6,81.6,5965
2023-05-11,81.6,82.4,81.3,82.1,82.1,9354
2023-05-12,81.9,81.9,80.3,81.3,81.3,27026
2023-05-15,80.3,81.9,80.3,81.8,81.8,28472
2023-05-16,81.3,83.0,81.0,82.1,82.1,14937
2023-05-17,82.0,83.8,81.5,83.0,83.0,11986
2023-05-18,83.0,84.7,83.0,83.9,83.9,14108
2023-05-19,83.4,84.0,83.0,83.4,83.4,1273
2023-05-22,83.0,83.5,82.8,83.5,83.5,15567
2023-05-23,83.5,83.5,82.7,83.5,83.5,36578
2023-05-24,82.7,82.9,81.1,82.0,82.0,3330
2023-05-25,81.6,81.7,79.0,80.3,80.3,18407
2023-05-26,80.0,81.5,80.0,81.5,81.5,8814
2023-05-29,81.5,82.0,80.8,81.4,81.4,8340
2023-05-30,82.0,83.5,81.4,83.0,83.0,29385
2023-05-31,82.6,83.0,82.2,82.5,82.5,7664
2023-06-01,82.3,82.5,82.1,82.1,82.1,10980
2023-06-02,82.1,82.6,82.1,82.5,82.5,3765
2023-06-05,82.2,82.7,80.6,80.9,80.9,1999
2023-06-06,80.8,81.4,80.8,81.0,81.0,4658
2023-06-07,80.8,81.2,79.6,80.4,80.4,5659
2023-06-09,81.9,84.0,81.0,83.4,83.4,162405
2023-06-12,83.1,83.3,81.7,83.1,83.1,183703
2023-06-13,83.0,83.1,82.0,83.0,83.0,117547
2023-06-14,82.2,83.4,82.2,82.9,82.9,48925
2023-06-15,83.0,83.5,81.1,81.5,81.5,50542
2023-06-16,79.5,79.5,77.5,77.9,77.9,35936
2023-06-19,78.2,78.5,77.8,78.4,78.4,31379
2023-06-20,78.0,78.1,77.9,78.0,78.0,1674
2023-06-21,78.0,78.2,78.0,78.0,78.0,1937
2023-06-22,78.0,78.2,77.9,78.2,78.2,3043
2023-06-23,81.2,81.4,81.0,81.4,81.4,31478
2023-06-26,81.2,81.5,81.2,81.5,81.5,23451
2023-06-27,81.4,81.5,81.3,81.3,81.3,20470
2023-06-28,81.4,81.5,81.2,81.3,81.3,4654
2023-06-29,81.0,81.0,78.4,78.5,78.5,7482
2023-06-30,78.5,80.0,78.5,79.8,79.8,5363
2023-07-03,79.1,81.0,79.0,80.2,80.2,3593
2023-07-04,80.5,81.0,80.4,80.6,80.6,4645
2023-07-05,80.6,80.9,80.5,80.5,80.5,3799
2023-07-06,80.5,80.8,80.5,80.8,80.8,4628
2023-07-07,80.6,81.1,80.6,81.0,81.0,5637
2023-07-10,81.0,81.0,80.7,80.8,80.8,3765
2023-07-11,80.9,81.0,80.8,80.9,80.9,3331
2023-07-12,80.9,81.0,80.8,80.8,80.8,1794
2023-07-13,80.8,81.0,80.8,80.8,80.8,11624
2023-07-14,80.8,80.9,80.8,80.8,80.8,6642
2023-07-17,80.7,80.9,80.7,80.7,80.7,1459
2023-07-18,80.7,81.0,80.7,81.0,81.0,5396
2023-07-19,81.1,81.2,80.8,81.2,81.2,940
2023-07-20,81.1,81.1,80.9,81.1,81.1,384
2023-07-21,80.9,81.0,80.9,81.0,81.0,710
2023-07-24,81.0,81.1,81.0,81.0,81.0,3509
2023-07-25,81.1,81.2,81.0,81.0,81.0,1636
2023-07-26,81.0,81.2,81.0,81.2,81.2,874
2023-07-27,81.2,81.2,81.1,81.1,81.1,816
2023-07-28,81.1,81.3,81.1,81.2,81.2,1809
2023-07-31,81.2,81.2,81.1,81.1,81.1,6748
2023-08-01,81.3,81.3,81.2,81.2,81.2,2086
2023-08-02,81.3,81.3,81.2,81.3,81.3,1201
2023-08-03,81.3,81.3,81.3,81.3,81.3,1201
2023-08-04,81.3,81.3,81.3,81.3,81.3,0
2023-08-07,81.3,81.3,81.3,81.3,81.3,0
2023-08-08,81.3,81.3,81.3,81.3,81.3,0
