Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-09,3.895,3.945,3.75,3.76,3.76,184046
2022-11-10,3.77,3.88,3.76,3.87,3.87,88353
2022-11-14,3.93,3.94,3.78,3.82,3.82,188991
2022-11-15,3.81,3.845,3.69,3.81,3.81,134453
2022-11-16,3.73,3.855,3.73,3.76,3.76,74051
2022-11-17,3.8,3.845,3.755,3.845,3.845,74669
2022-11-18,3.8,3.84,3.765,3.815,3.815,94380
2022-11-21,3.8,3.81,3.665,3.685,3.685,117123
2022-11-22,3.7,3.81,3.7,3.79,3.79,45917
2022-11-23,3.79,3.9,3.75,3.9,3.9,96261
2022-11-24,3.915,4.015,3.84,3.885,3.885,221601
2022-11-25,3.91,3.95,3.87,3.9,3.9,99436
2022-11-28,3.9,4.09,3.87,4.0,4.0,175799
2022-11-29,4.0,4.035,3.95,3.99,3.99,81949
2022-11-30,3.99,4.03,3.935,4.01,4.01,107786
2022-12-01,4.07,4.07,3.935,3.95,3.95,132151
2022-12-02,4.0,4.0,3.9,3.95,3.95,117960
2022-12-05,3.98,4.04,3.92,3.96,3.96,201669
2022-12-06,3.96,4.0,3.925,3.99,3.99,67013
2022-12-07,3.96,4.005,3.93,3.955,3.955,63801
2022-12-08,3.96,4.005,3.94,3.99,3.99,98552
2022-12-09,3.99,4.035,3.96,3.98,3.98,143107
2022-12-12,3.995,4.07,3.96,4.07,4.07,158795
2022-12-13,4.06,4.25,4.06,4.24,4.24,572870
2022-12-14,4.25,4.42,4.24,4.4,4.4,414645
2022-12-15,4.4,4.4,4.2,4.23,4.23,113892
2022-12-16,4.25,4.51,4.25,4.42,4.42,289171
2022-12-19,4.42,4.78,4.42,4.68,4.68,479489
2022-12-20,4.645,4.77,4.53,4.6,4.6,190122
2022-12-21,4.6,4.63,4.5,4.575,4.575,157469
2022-12-22,4.58,4.6,4.48,4.48,4.48,155327
2022-12-23,4.49,4.635,4.44,4.51,4.51,362384
2022-12-27,4.52,4.58,4.36,4.365,4.365,200457
2022-12-28,4.37,4.375,4.23,4.25,4.25,298409
2022-12-29,4.37,4.46,4.3,4.45,4.45,352981
2022-12-30,4.45,4.52,4.38,4.5,4.5,397654
2023-01-02,4.55,4.615,4.43,4.495,4.495,82273
2023-01-03,4.51,4.575,4.415,4.57,4.57,609416
2023-01-04,4.57,4.685,4.53,4.615,4.615,134693
2023-01-05,4.65,4.785,4.56,4.685,4.685,301602
2023-01-09,4.72,4.79,4.64,4.76,4.76,227575
2023-01-10,4.75,4.87,4.715,4.865,4.865,208963
2023-01-11,4.865,4.865,4.785,4.8,4.8,102736
2023-01-12,4.7,4.84,4.67,4.795,4.795,179054
2023-01-13,4.79,5.07,4.75,5.01,5.01,632531
2023-01-16,5.03,5.04,4.935,4.98,4.98,392000
2023-01-17,4.995,5.0,4.855,4.94,4.94,109193
2023-01-18,4.94,5.65,4.885,5.6,5.6,869782
2023-01-19,5.56,5.59,5.32,5.34,5.34,413165
2023-01-20,5.4,5.77,5.34,5.68,5.68,716083
2023-01-23,5.68,5.84,5.57,5.66,5.66,254619
2023-01-24,5.67,6.09,5.67,6.09,6.09,1250333
2023-01-25,6.07,6.2,5.79,6.2,6.2,743228
2023-01-26,6.15,6.54,6.11,6.34,6.34,816286
2023-01-27,6.38,6.95,6.29,6.54,6.54,1686035
2023-01-30,6.85,7.53,6.71,6.9,6.9,2252798
2023-01-31,6.9,7.3,6.9,7.15,7.15,1011864
2023-02-01,7.28,7.42,7.0,7.14,7.14,787037
2023-02-02,7.12,7.13,6.56,6.8,6.8,800316
2023-02-03,6.71,6.97,6.52,6.68,6.68,436263
2023-02-06,6.67,7.2,6.48,7.08,7.08,784808
2023-02-07,7.08,7.18,6.9,7.02,7.02,282389
2023-02-08,7.0,7.05,6.76,6.82,6.82,269116
2023-02-09,6.82,7.1,6.82,6.93,6.93,268981
2023-02-10,6.95,6.95,6.64,6.84,6.84,193588
2023-02-13,6.93,6.93,6.64,6.75,6.75,138745
2023-02-14,6.76,6.82,6.68,6.71,6.71,64994
2023-02-15,6.71,7.05,6.64,6.95,6.95,380992
2023-02-16,7.0,7.46,6.8,7.21,7.21,682652
2023-02-17,7.25,7.72,7.14,7.61,7.61,565834
2023-02-20,7.62,7.74,7.37,7.4,7.4,343641
2023-02-21,7.4,7.5,7.14,7.4,7.4,194443
2023-02-22,7.4,7.5,7.25,7.41,7.41,124126
2023-02-23,7.45,7.84,7.41,7.59,7.59,382355
2023-02-24,7.6,7.76,7.54,7.7,7.7,144359
2023-02-27,7.7,8.47,7.6,8.21,8.21,826735
2023-02-28,8.32,8.59,8.0,8.1,8.1,493909
2023-03-01,8.3,8.73,8.14,8.72,8.72,465985
2023-03-02,8.7,8.76,8.09,8.15,8.15,652857
2023-03-03,8.19,8.3,7.9,8.05,8.05,427836
2023-03-06,8.15,8.4,7.98,8.1,8.1,410947
2023-03-07,8.1,8.78,7.94,8.7,8.7,1005106
2023-03-08,8.7,9.24,8.6,9.0,9.0,596960
2023-03-09,8.97,8.97,8.39,8.62,8.62,560546
2023-03-10,8.51,8.58,8.27,8.55,8.55,336520
2023-03-13,8.48,8.48,7.82,8.15,8.15,654428
2023-03-14,8.19,8.72,8.19,8.56,8.56,266242
2023-03-15,8.66,8.72,8.14,8.16,8.16,271715
2023-03-16,8.14,8.43,8.08,8.26,8.26,186219
2023-03-17,8.3,8.59,8.13,8.3,8.3,140430
2023-03-20,8.29,8.31,8.08,8.28,8.28,132190
2023-03-21,8.25,8.67,8.16,8.56,8.56,209264
2023-03-22,8.65,9.69,8.45,9.57,9.57,1361851
2023-03-23,9.5,10.3,9.32,10.08,10.08,1367478
2023-03-24,10.2,10.3,9.6,10.26,10.26,704774
2023-03-27,10.0,10.34,9.92,10.14,10.14,274121
2023-03-28,10.3,11.2,10.26,10.88,10.88,777708
2023-03-29,10.98,10.98,10.6,10.78,10.78,268025
2023-03-30,10.84,10.96,10.34,10.48,10.48,318440
2023-03-31,10.6,10.68,10.36,10.36,10.36,226589
2023-04-03,10.5,10.68,10.2,10.2,10.2,139603
2023-04-04,10.2,10.2,9.75,9.9,9.9,436192
2023-04-05,9.95,10.5,9.61,10.38,10.38,274401
2023-04-06,10.28,10.44,10.14,10.26,10.26,56715
2023-04-11,10.22,10.68,10.1,10.64,10.64,216474
2023-04-12,10.52,10.94,10.44,10.88,10.88,257193
2023-04-13,10.86,10.96,10.76,10.82,10.82,197113
