Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-24,1928.95,1945.78,1912.85,1918.6,1918.6,18020000
2023-01-25,1906.22,1906.22,1879.52,1886.24,1886.24,19470000
2023-01-26,1900.83,1920.18,1892.13,1911.61,1911.61,16710000
2023-01-27,1916.61,1925.94,1909.33,1911.5,1911.5,16290000
2023-01-30,1909.48,1909.48,1882.38,1889.82,1889.82,15590000
2023-01-31,1886.96,1905.89,1876.42,1902.25,1902.25,24130000
2023-02-01,1903.59,1911.39,1871.93,1871.93,1871.93,22200000
2023-02-02,1886.33,1919.26,1882.56,1903.79,1903.79,26010000
2023-02-03,1903.48,1917.69,1896.18,1906.13,1906.13,18910000
2023-02-06,1902.31,1902.31,1863.26,1864.76,1864.76,15980000
2023-02-07,1869.42,1877.28,1858.79,1870.87,1870.87,14140000
2023-02-08,1882.32,1898.52,1882.32,1886.68,1886.68,13400000
2023-02-09,1892.88,1912.32,1889.24,1896.24,1896.24,12170000
2023-02-10,1891.84,1891.84,1838.33,1848.04,1848.04,19720000
2023-02-13,1855.31,1863.95,1837.88,1853.29,1853.29,13480000
2023-02-14,1858.47,1868.44,1841.76,1852.67,1852.67,12570000
2023-02-15,1850.59,1871.47,1844.73,1870.03,1870.03,11200000
2023-02-16,1872.93,1883.67,1841.85,1865.51,1865.51,18650000
2023-02-17,1859.27,1867.81,1846.46,1859.26,1859.26,14930000
2023-02-20,1860.87,1863.76,1842.43,1849.48,1849.48,9560000
2023-02-21,1847.82,1847.82,1813.26,1825.89,1825.89,14630000
2023-02-22,1822.56,1823.79,1786.67,1796.87,1796.87,17930000
2023-02-23,1797.8,1826.45,1797.8,1824.76,1824.76,13120000
2023-02-24,1828.33,1832.76,1802.1,1807.31,1807.31,11540000
2023-02-27,1810.71,1828.27,1806.5,1820.79,1820.79,8390000
2023-02-28,1821.3,1847.94,1810.98,1847.94,1847.94,27050000
2023-03-01,1855.26,1868.54,1845.77,1856.22,1856.22,15260000
2023-03-02,1850.34,1850.34,1813.37,1817.77,1817.77,16030000
2023-03-03,1821.93,1841.85,1820.13,1841.85,1841.85,12690000
2023-03-06,1849.05,1878.93,1849.05,1873.63,1873.63,13150000
2023-03-07,1870.17,1883.31,1853.4,1853.4,1853.4,12940000
2023-03-08,1853.32,1864.49,1842.48,1860.83,1860.83,12130000
2023-03-09,1859.12,1859.12,1835.94,1835.94,1835.94,10600000
2023-03-10,1820.21,1820.21,1786.18,1799.58,1799.58,16070000
2023-03-13,1805.3,1814.07,1733.83,1753.3,1753.3,21890000
2023-03-14,1752.13,1769.37,1737.77,1755.3,1755.3,18610000
2023-03-15,1761.1,1766.16,1702.2,1707.42,1707.42,20760000
2023-03-16,1718.65,1727.07,1669.53,1706.55,1706.55,26680000
2023-03-17,1716.42,1730.29,1671.67,1678.16,1678.16,37080000
2023-03-20,1671.55,1689.36,1626.01,1686.56,1686.56,21360000
2023-03-21,1694.95,1724.01,1694.95,1719.16,1719.16,23350000
2023-03-22,1721.09,1732.74,1704.93,1707.29,1707.29,16420000
2023-03-23,1706.81,1714.42,1680.9,1705.91,1705.91,12510000
2023-03-24,1700.07,1700.07,1661.51,1670.18,1670.18,16320000
2023-03-27,1684.13,1695.07,1665.93,1686.96,1686.96,10210000
2023-03-28,1694.46,1712.77,1686.26,1694.12,1694.12,14050000
2023-03-29,1701.93,1712.3,1685.64,1709.39,1709.39,16050000
2023-03-30,1715.56,1764.19,1715.56,1763.29,1763.29,26180000
2023-03-31,1768.95,1776.97,1754.07,1758.56,1758.56,18840000
2023-04-03,1764.92,1795.3,1764.92,1775.99,1775.99,13440000
2023-04-04,1785.64,1797.89,1772.43,1773.53,1773.53,10510000
2023-04-05,1772.8,1776.32,1752.7,1756.95,1756.95,12690000
2023-04-06,1759.34,1766.0,1749.0,1754.24,1754.24,7870000
2023-04-11,1765.72,1789.07,1758.63,1783.31,1783.31,16690000
2023-04-12,1785.83,1820.15,1773.58,1816.28,1816.28,20560000
2023-04-13,1814.17,1846.34,1808.35,1840.77,1840.77,22270000
2023-04-14,1846.46,1865.17,1844.08,1854.27,1854.27,16400000
2023-04-17,1861.54,1869.58,1854.76,1861.85,1861.85,14470000
2023-04-18,1863.8,1910.96,1859.82,1896.92,1896.92,16400000
2023-04-19,1893.31,1901.65,1871.52,1896.87,1896.87,13710000
2023-04-20,1898.29,1926.26,1896.15,1911.19,1911.19,17840000
2023-04-21,1903.8,1903.8,1882.76,1900.63,1900.63,13890000
2023-04-24,1897.12,1918.6,1883.77,1910.52,1910.52,10310000
2023-04-25,1907.98,1911.87,1887.85,1890.69,1890.69,13670000
2023-04-26,1891.3,1902.64,1870.09,1888.61,1888.61,16640000
2023-04-27,1893.04,1951.53,1893.04,1948.07,1948.07,15200000
2023-04-28,1953.29,1954.79,1917.31,1923.09,1923.09,17950000
