Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-20,10.6,10.75,10.55,10.55,10.55,1940
2023-06-21,10.75,10.75,10.6,10.65,10.65,2616
2023-06-22,10.65,10.65,10.5,10.6,10.6,1470
2023-06-23,10.45,10.6,10.3,10.6,10.6,6646
2023-06-26,10.5,10.6,10.2,10.5,10.5,4275
2023-06-27,10.5,10.5,10.25,10.45,10.45,3343
2023-06-28,10.55,10.55,10.3,10.3,10.3,4463
2023-06-29,10.35,10.7,10.2,10.4,10.4,8747
2023-06-30,10.3,10.35,10.2,10.3,10.3,6849
2023-07-03,10.3,10.3,10.15,10.2,10.2,1313
2023-07-04,10.3,10.35,10.15,10.35,10.35,2147
2023-07-05,10.3,10.4,10.2,10.3,10.3,3006
2023-07-06,10.3,10.3,10.0,10.1,10.1,6834
2023-07-07,10.05,10.2,10.0,10.2,10.2,5749
2023-07-10,10.2,10.35,10.05,10.25,10.25,8983
2023-07-11,10.25,10.45,10.1,10.35,10.35,5868
2023-07-12,10.4,10.45,10.3,10.4,10.4,20458
2023-07-13,10.4,10.4,10.2,10.2,10.2,3864
2023-07-14,10.2,10.65,10.1,10.55,10.55,49060
2023-07-17,10.7,11.3,10.65,11.0,11.0,37190
2023-07-18,11.2,11.7,10.9,11.5,11.5,80960
2023-07-19,11.55,11.6,11.05,11.15,11.15,15856
2023-07-20,11.2,11.5,10.95,11.2,11.2,14825
2023-07-21,10.7,11.0,10.35,11.0,11.0,15539
2023-07-24,11.15,11.2,10.8,10.8,10.8,4241
2023-07-25,10.9,11.15,10.8,11.1,11.1,13878
2023-07-26,11.15,11.2,10.8,11.0,11.0,10800
2023-07-27,10.95,10.95,10.8,10.9,10.9,4900
2023-07-28,11.0,11.0,10.85,10.95,10.95,4000
2023-07-31,10.95,10.95,10.6,10.65,10.65,13401
2023-08-01,10.65,10.7,10.55,10.65,10.65,4713
2023-08-02,10.65,10.65,10.45,10.6,10.6,4710
2023-08-03,10.55,10.55,10.35,10.4,10.4,4170
2023-08-04,10.5,10.6,10.5,10.55,10.55,1839
2023-08-07,10.5,10.55,10.0,10.3,10.3,8619
2023-08-08,10.3,10.3,10.0,10.05,10.05,3602
2023-08-09,10.15,10.2,9.94,9.94,9.94,27782
2023-08-10,9.92,10.1,9.6,9.7,9.7,19853
2023-08-11,9.7,9.9,9.66,9.74,9.74,18695
2023-08-14,9.74,10.0,9.7,9.86,9.86,11212
2023-08-16,9.9,9.9,9.7,9.72,9.72,20874
2023-08-17,9.84,9.9,9.76,9.8,9.8,8559
2023-08-18,9.8,10.35,9.8,10.2,10.2,54070
2023-08-21,10.35,10.35,9.9,9.92,9.92,7320
2023-08-22,9.9,10.1,9.88,10.1,10.1,55471
2023-08-23,10.1,10.4,9.9,9.96,9.96,23961
2023-08-24,9.96,9.98,9.92,9.96,9.96,1629
2023-08-25,9.92,9.96,9.86,9.92,9.92,1811
2023-08-28,9.92,9.98,9.9,9.98,9.98,1660
2023-08-29,9.98,9.98,9.84,9.94,9.94,3173
2023-08-30,10.0,10.3,10.0,10.3,10.3,15458
2023-08-31,10.35,10.35,10.0,10.3,10.3,3990
