Date,Open,High,Low,Close,Adjusted_close,Volume
2022-08-04,5.2,5.2,5.06,5.06,5.06,752
2022-08-05,5.06,5.2,5.06,5.2,5.2,651
2022-08-08,5.2,5.62,5.08,5.62,5.62,10562
2022-08-09,5.14,5.7,5.14,5.7,5.7,4916
2022-08-10,5.68,5.96,5.52,5.92,5.92,9572
2022-08-11,5.9,5.9,5.9,5.9,5.9,180
2022-08-12,5.6,5.88,5.58,5.88,5.88,1727
2022-08-16,5.9,5.9,5.56,5.88,5.88,446
2022-08-17,5.58,5.8,5.58,5.58,5.58,354
2022-08-18,5.58,5.84,5.52,5.52,5.52,1007
2022-08-19,5.52,5.52,5.5,5.5,5.5,1670
2022-08-22,5.5,5.68,5.36,5.36,5.36,961
2022-08-23,5.32,5.64,5.3,5.64,5.64,1075
2022-08-24,5.64,5.7,5.36,5.5,5.5,2176
2022-08-25,5.38,5.4,5.32,5.32,5.32,755
2022-08-26,5.32,5.62,5.12,5.62,5.62,1913
2022-08-29,5.62,5.62,5.4,5.6,5.6,881
2022-08-30,5.4,5.7,5.4,5.66,5.66,5880
2022-08-31,5.64,5.66,5.46,5.66,5.66,1129
2022-09-01,5.48,5.66,5.28,5.4,5.4,4203
2022-09-02,5.4,5.6,5.2,5.54,5.54,3983
2022-09-05,5.2,5.48,5.12,5.48,5.48,5194
2022-09-06,5.26,5.42,5.02,5.02,5.02,4661
2022-09-07,5.3,5.56,5.04,5.4,5.4,14719
2022-09-08,5.22,5.22,5.16,5.16,5.16,258
2022-09-09,5.12,5.18,4.95,5.18,5.18,4613
2022-09-12,4.97,5.24,4.97,5.24,5.24,144
2022-09-13,4.98,5.22,4.98,5.22,5.22,1486
2022-09-14,5.2,5.2,5.2,5.2,5.2,2
2022-09-15,5.04,5.46,5.04,5.46,5.46,1139
2022-09-16,5.14,5.36,5.14,5.36,5.36,137
2022-09-19,5.22,5.48,5.22,5.48,5.48,3271
2022-09-20,5.22,5.22,5.22,5.22,5.22,405
2022-09-21,5.22,5.34,5.22,5.24,5.24,464
2022-09-22,5.2,5.24,5.16,5.22,5.22,765
2022-09-23,5.22,5.38,5.14,5.38,5.38,1333
2022-09-26,5.16,5.16,5.08,5.08,5.08,3809
2022-09-27,5.08,5.08,5.06,5.06,5.06,1921
2022-09-28,5.08,5.08,5.04,5.04,5.04,3870
2022-09-29,5.0,5.02,4.87,4.87,4.87,8365
2022-09-30,4.82,5.22,4.8,5.22,5.22,1703
2022-10-03,4.81,4.98,4.61,4.98,4.98,2643
2022-10-04,4.96,5.0,4.66,4.98,4.98,2092
2022-10-05,4.96,4.98,4.7,4.98,4.98,807
2022-10-06,4.97,4.98,4.97,4.98,4.98,471
2022-10-07,4.98,5.06,4.98,5.06,5.06,1828
2022-10-10,4.92,4.92,4.92,4.92,4.92,400
2022-10-11,4.92,4.92,4.7,4.7,4.7,2738
2022-10-12,4.67,4.89,4.62,4.89,4.89,8105
2022-10-13,4.67,4.7,4.6,4.7,4.7,3095
2022-10-14,4.89,4.89,4.87,4.87,4.87,703
2022-10-17,4.83,4.83,4.83,4.83,4.83,200
2022-10-18,4.87,4.87,4.87,4.87,4.87,165
2022-10-19,4.41,4.85,4.41,4.85,4.85,118
2022-10-20,4.85,4.85,4.85,4.85,4.85,118
2022-10-21,4.42,4.64,4.37,4.64,4.64,2482
2022-10-24,4.32,4.7,4.32,4.68,4.68,1107
2022-10-25,4.4,4.4,4.4,4.4,4.4,642
2022-10-26,4.4,4.46,4.4,4.46,4.46,800
2022-10-27,4.46,4.46,4.31,4.31,4.31,759
2022-10-28,4.31,4.35,4.1,4.2,4.2,10743
2022-10-31,4.1,4.5,3.9,4.47,4.47,1784
2022-11-02,4.04,4.4,4.04,4.39,4.39,220
2022-11-03,4.0,4.39,4.0,4.39,4.39,378
2022-11-04,4.02,4.39,4.02,4.39,4.39,585
2022-11-07,4.39,4.4,4.02,4.4,4.4,701
2022-11-08,4.07,4.36,3.94,4.21,4.21,8457
2022-11-09,4.2,4.2,3.82,3.86,3.86,13605
2022-11-10,3.86,3.98,3.75,3.83,3.83,3670
2022-11-14,3.84,4.08,3.83,4.04,4.04,2018
2022-11-15,3.98,3.99,3.84,3.89,3.89,2004
2022-11-16,3.85,3.86,3.85,3.86,3.86,409
2022-11-17,3.87,3.87,3.61,3.61,3.61,8277
2022-11-18,3.7,3.98,3.6,3.96,3.96,10221
2022-11-21,3.96,3.96,3.8,3.8,3.8,402
2022-11-22,3.9,3.9,3.9,3.9,3.9,100
2022-11-23,3.6,3.68,3.6,3.68,3.68,12525
2022-11-24,3.61,3.8,3.61,3.75,3.75,10173
2022-11-25,3.75,3.88,3.63,3.87,3.87,15106
2022-11-28,3.76,3.85,3.65,3.85,3.85,741
2022-11-29,3.72,3.86,3.72,3.74,3.74,9028
2022-11-30,3.72,3.98,3.6,3.82,3.82,18617
2022-12-01,3.89,4.07,3.78,4.04,4.04,2743
2022-12-02,3.77,4.03,3.77,4.0,4.0,104
2022-12-05,3.85,3.98,3.85,3.98,3.98,20367
2022-12-06,3.99,3.99,3.81,3.84,3.84,5930
2022-12-07,3.92,3.92,3.92,3.92,3.92,100
2022-12-08,3.81,3.94,3.81,3.81,3.81,845
2022-12-09,3.9,3.98,3.85,3.95,3.95,2502
2022-12-12,3.83,3.96,3.83,3.96,3.96,2381
2022-12-13,3.9,3.9,3.62,3.87,3.87,6141
2022-12-14,3.87,3.87,3.7,3.7,3.7,2365
2022-12-15,3.78,3.78,3.67,3.74,3.74,860
2022-12-16,3.69,3.7,3.67,3.68,3.68,2093
2022-12-19,3.66,3.7,3.62,3.67,3.67,11681
2022-12-20,3.67,3.84,3.63,3.84,3.84,185263
2022-12-21,3.7,3.96,3.7,3.9,3.9,12984
2022-12-22,3.85,3.95,3.73,3.9,3.9,1019
2022-12-23,3.72,3.85,3.72,3.85,3.85,1192
2022-12-27,3.77,3.77,3.7,3.76,3.76,10518
2022-12-28,3.72,3.87,3.7,3.86,3.86,3754
2022-12-29,3.86,3.86,3.84,3.84,3.84,79
2022-12-30,3.72,3.83,3.72,3.83,3.83,522
2023-01-02,3.9,3.9,3.71,3.75,3.75,429
2023-01-03,3.74,3.92,3.72,3.73,3.73,1207
2023-01-04,3.89,3.89,3.73,3.73,3.73,240
2023-01-05,3.73,3.81,3.73,3.81,3.81,199
2023-01-09,3.95,3.95,3.74,3.89,3.89,7376
2023-01-10,3.9,3.95,3.78,3.95,3.95,1566
2023-01-11,3.96,4.04,3.85,4.04,4.04,8341
2023-01-12,3.95,4.04,3.95,3.97,3.97,3030
2023-01-13,3.88,4.3,3.88,4.3,4.3,128038
2023-01-16,4.28,4.44,4.24,4.39,4.39,16230
2023-01-17,4.39,4.39,4.1,4.27,4.27,4298
2023-01-18,4.26,4.26,4.1,4.23,4.23,5796
2023-01-19,4.28,4.38,4.13,4.35,4.35,6266
2023-01-20,4.21,4.35,4.21,4.35,4.35,4069
2023-01-23,4.38,4.59,4.3,4.57,4.57,64181
2023-01-24,4.55,4.57,4.39,4.55,4.55,9569
2023-01-25,4.42,4.42,4.42,4.42,4.42,87
2023-01-26,4.42,4.55,4.42,4.55,4.55,613
2023-01-27,4.4,4.4,4.4,4.4,4.4,8
2023-01-30,4.42,4.5,4.31,4.5,4.5,7633
2023-01-31,4.29,4.4,4.29,4.4,4.4,3
2023-02-01,4.4,4.4,4.21,4.27,4.27,9881
2023-02-02,4.26,4.26,4.26,4.26,4.26,253
2023-02-03,4.26,4.29,4.26,4.29,4.29,2552
