Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-05,6.794,6.928,6.758,6.878,6.878,2124120
2023-01-09,6.91,7.05,6.878,7.05,7.05,2427530
2023-01-10,7.05,7.126,6.968,7.08,7.08,1794976
2023-01-11,7.05,7.1,6.908,6.938,6.938,1756812
2023-01-12,6.95,7.048,6.876,6.95,6.95,2362334
2023-01-13,7.038,7.038,6.844,6.89,6.89,1071809
2023-01-16,6.91,7.058,6.868,7.004,7.004,1218954
2023-01-17,6.998,7.026,6.95,6.976,6.976,685493
2023-01-18,7.0,7.068,6.846,6.89,6.89,2340906
2023-01-19,6.89,6.934,6.772,6.888,6.888,1431675
2023-01-20,6.998,6.998,6.886,6.91,6.91,1324263
2023-01-23,7.0,7.028,6.928,7.012,7.012,748058
2023-01-24,7.02,7.092,6.856,6.926,6.926,1333774
2023-01-25,6.986,6.99,6.844,6.91,6.91,715636
2023-01-26,6.98,7.04,6.92,6.998,6.998,822844
2023-01-27,7.042,7.12,6.988,7.094,7.094,1276601
2023-01-30,7.05,7.05,6.874,6.94,6.94,1393220
2023-01-31,6.93,7.046,6.902,6.98,6.98,3137001
2023-02-01,7.0,7.08,6.9,6.9,6.9,1519003
2023-02-02,7.038,7.068,6.926,6.972,6.972,2417768
2023-02-03,7.048,7.048,6.884,6.912,6.912,831210
2023-02-06,6.964,6.982,6.746,6.782,6.782,1003295
2023-02-07,6.822,6.916,6.766,6.824,6.824,1557062
2023-02-08,6.844,6.878,6.784,6.8,6.8,959400
2023-02-09,6.84,6.84,6.7,6.792,6.792,1543728
2023-02-10,6.828,6.88,6.71,6.86,6.86,2485404
2023-02-13,6.87,6.88,6.706,6.75,6.75,991410
2023-02-14,6.8,6.9,6.72,6.83,6.83,1519913
2023-02-15,6.88,6.9,6.83,6.878,6.878,885338
2023-02-16,6.912,7.04,6.91,7.01,7.01,2664104
2023-02-17,7.03,7.044,6.926,7.01,7.01,1432558
2023-02-20,7.0,7.032,6.948,6.974,6.974,697866
2023-02-21,7.0,7.0,6.82,6.858,6.858,909419
2023-02-22,6.896,6.966,6.786,6.946,6.946,2284806
2023-02-23,6.99,6.99,6.812,6.902,6.902,1252380
2023-02-24,6.872,6.918,6.774,6.792,6.792,717411
2023-02-27,6.792,6.822,6.73,6.736,6.736,871073
2023-02-28,6.73,6.768,6.644,6.724,6.724,2745308
2023-03-01,6.75,6.892,6.7,6.844,6.844,2847822
2023-03-02,6.83,6.83,6.682,6.75,6.75,1186645
2023-03-03,6.79,6.79,6.72,6.776,6.776,486724
2023-03-06,6.82,6.884,6.75,6.872,6.872,1129216
2023-03-07,6.89,6.898,6.788,6.82,6.82,1226868
2023-03-08,6.822,6.962,6.822,6.936,6.936,1159130
2023-03-09,6.97,6.98,6.852,6.96,6.96,811386
2023-03-10,6.84,6.898,6.752,6.784,6.784,1447403
2023-03-13,6.868,6.868,6.518,6.56,6.56,1374769
2023-03-14,6.692,6.692,6.43,6.44,6.44,1553992
2023-03-15,6.524,6.56,6.372,6.422,6.422,1195746
2023-03-16,6.478,6.52,6.346,6.508,6.508,2542542
2023-03-17,6.53,6.584,6.41,6.45,6.45,2896038
2023-03-20,6.49,6.542,6.366,6.5,6.5,1110431
2023-03-21,6.462,6.64,6.454,6.614,6.614,1165177
2023-03-22,6.61,6.736,6.562,6.71,6.71,1490029
2023-03-23,6.74,6.882,6.688,6.832,6.832,1864369
2023-03-24,6.8,6.88,6.706,6.758,6.758,1537988
2023-03-27,6.85,6.86,6.692,6.726,6.726,619785
2023-03-28,6.69,6.744,6.55,6.55,6.55,939447
2023-03-29,6.63,6.63,6.508,6.59,6.59,751104
2023-03-30,6.6,6.686,6.49,6.666,6.666,2061821
2023-03-31,6.7,6.826,6.612,6.826,6.826,1663472
2023-04-03,6.844,6.91,6.802,6.848,6.848,1213299
2023-04-04,6.852,6.866,6.73,6.838,6.838,457758
2023-04-05,6.816,7.042,6.812,7.022,7.022,1913835
2023-04-06,7.05,7.086,6.926,7.022,7.022,1264706
2023-04-07,7.022,7.022,7.022,7.022,7.022,0
2023-04-10,7.022,7.022,7.022,7.022,7.022,0
2023-04-11,7.09,7.09,6.91,6.97,6.97,1415523
2023-04-12,6.95,7.06,6.914,7.044,7.044,1471400
2023-04-13,7.072,7.176,6.974,7.15,7.15,2929353
2023-04-14,7.15,7.248,7.144,7.18,7.18,1056110
2023-04-17,7.18,7.23,7.16,7.23,7.23,1428273
2023-04-18,7.238,7.338,7.18,7.288,7.288,1174696
2023-04-19,7.25,7.396,7.208,7.38,7.38,1083336
2023-04-20,7.35,7.456,7.336,7.358,7.358,1405470
2023-04-21,7.286,7.32,7.066,7.14,7.14,1267784
2023-04-24,7.166,7.25,7.11,7.192,7.192,908677
2023-04-25,7.19,7.208,7.052,7.1,7.1,1430894
2023-04-26,7.13,7.2,7.054,7.12,7.12,1349850
2023-04-27,7.2,7.236,7.072,7.22,7.22,1039240
2023-04-28,7.25,7.288,7.178,7.248,7.248,1522937
2023-05-01,7.248,7.248,7.248,7.248,7.248,0
2023-05-02,7.286,7.452,7.248,7.41,7.41,1685096
2023-05-03,7.41,7.41,7.41,7.41,7.41,0
2023-05-04,7.438,7.512,7.336,7.416,7.416,1501760
2023-05-05,7.464,7.602,7.448,7.53,7.53,2463467
2023-05-08,7.59,7.66,7.526,7.62,7.62,910386
2023-05-09,7.55,7.598,7.508,7.58,7.58,1256467
2023-05-10,7.516,7.602,7.42,7.444,7.444,2244485
2023-05-11,7.518,7.534,7.416,7.48,7.48,1123255
2023-05-12,7.52,7.606,7.466,7.6,7.6,1404637
2023-05-15,7.608,7.638,7.442,7.518,7.518,803452
2023-05-16,7.5,7.628,7.466,7.584,7.584,819969
2023-05-17,7.55,7.566,7.332,7.382,7.382,926722
2023-05-18,7.496,7.496,7.264,7.348,7.348,1274225
2023-05-19,7.4,7.472,7.268,7.422,7.422,1442059
