Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-30,3.46,3.515,3.45,3.485,3.485,26487
2023-01-31,3.48,3.5,3.46,3.465,3.465,20425
2023-02-01,3.5,3.59,3.46,3.58,3.58,75758
2023-02-02,3.58,3.62,3.54,3.58,3.58,19323
2023-02-03,3.56,3.58,3.525,3.53,3.53,25438
2023-02-06,3.53,3.56,3.38,3.485,3.485,66706
2023-02-07,3.47,3.515,3.4,3.43,3.43,62620
2023-02-08,3.435,3.48,3.41,3.41,3.41,65828
2023-02-09,3.41,3.5,3.395,3.49,3.49,181268
2023-02-10,3.49,3.49,3.425,3.455,3.455,16610
2023-02-13,3.43,3.47,3.43,3.465,3.465,24962
2023-02-14,3.45,3.48,3.43,3.44,3.44,19563
2023-02-15,3.44,3.48,3.43,3.47,3.47,13753
2023-02-16,3.485,3.495,3.47,3.485,3.485,16994
2023-02-17,3.475,3.49,3.41,3.41,3.41,78154
2023-02-20,3.415,3.475,3.415,3.43,3.43,10311
2023-02-21,3.43,3.475,3.42,3.46,3.46,14212
2023-02-22,3.46,3.465,3.415,3.42,3.42,22590
2023-02-23,3.45,3.465,3.42,3.44,3.44,17302
2023-02-24,3.42,3.455,3.415,3.42,3.42,19426
2023-02-27,3.43,3.45,3.42,3.43,3.43,10116
2023-02-28,3.43,3.45,3.42,3.445,3.445,5798
2023-03-01,3.445,3.465,3.43,3.465,3.465,20735
2023-03-02,3.45,3.48,3.425,3.465,3.465,27397
2023-03-03,3.45,3.5,3.44,3.5,3.5,26246
2023-03-06,3.51,3.73,3.51,3.645,3.645,173597
2023-03-07,3.645,3.73,3.6,3.615,3.615,81595
2023-03-08,3.605,3.63,3.52,3.56,3.56,50176
2023-03-09,3.56,3.595,3.55,3.575,3.575,12250
2023-03-10,3.585,3.585,3.47,3.53,3.53,55586
2023-03-13,3.52,3.52,3.425,3.49,3.49,54678
2023-03-14,3.48,3.55,3.48,3.5,3.5,33766
2023-03-15,3.5,3.52,3.43,3.43,3.43,35438
2023-03-16,3.435,3.48,3.41,3.435,3.435,16928
2023-03-17,3.445,3.46,3.42,3.42,3.42,16031
2023-03-20,3.415,3.455,3.345,3.455,3.455,28887
2023-03-21,3.43,3.47,3.4,3.44,3.44,27979
2023-03-22,3.425,3.46,3.38,3.385,3.385,32113
2023-03-23,3.4,3.45,3.4,3.41,3.41,10440
2023-03-24,3.41,3.43,3.38,3.38,3.38,17017
2023-03-27,3.4,3.425,3.37,3.425,3.425,13609
2023-03-28,3.445,3.445,3.3,3.33,3.33,45034
2023-03-29,3.36,3.405,3.35,3.39,3.39,15080
2023-03-30,3.395,3.49,3.395,3.48,3.48,28522
2023-03-31,3.47,3.495,3.3,3.42,3.42,50421
2023-04-03,3.61,3.7,3.56,3.6,3.6,140703
2023-04-04,3.6,3.645,3.445,3.58,3.58,51574
2023-04-05,3.55,3.585,3.5,3.515,3.515,13680
2023-04-06,3.56,3.56,3.48,3.5,3.5,23748
2023-04-11,3.51,3.57,3.5,3.57,3.57,25577
2023-04-12,3.525,3.64,3.525,3.575,3.575,43558
2023-04-13,3.575,3.6,3.52,3.56,3.56,12070
2023-04-14,3.56,3.57,3.52,3.52,3.52,16175
2023-04-17,3.52,3.6,3.52,3.55,3.55,18098
2023-04-18,3.58,3.6,3.535,3.55,3.55,15136
2023-04-19,3.555,3.595,3.545,3.58,3.58,23517
2023-04-20,3.585,3.61,3.535,3.535,3.535,40771
2023-04-21,3.56,3.84,3.56,3.835,3.835,325273
2023-04-24,3.835,3.955,3.805,3.895,3.895,139086
2023-04-25,3.88,3.89,3.78,3.805,3.805,49477
2023-04-26,3.82,3.9,3.78,3.835,3.835,39294
2023-04-27,3.83,3.97,3.8,3.96,3.96,90455
2023-04-28,3.97,3.98,3.72,3.95,3.95,111401
2023-05-02,3.885,3.885,3.78,3.78,3.78,65594
2023-05-04,3.77,3.77,3.65,3.67,3.67,122854
2023-05-05,3.695,3.715,3.62,3.63,3.63,50650
2023-05-08,3.635,3.73,3.58,3.7,3.7,66880
2023-05-09,3.7,3.7,3.66,3.685,3.685,15560
2023-05-10,3.685,3.685,3.5,3.64,3.64,73861
2023-05-11,3.585,3.66,3.585,3.6,3.6,18935
2023-05-12,3.595,3.7,3.585,3.63,3.63,35681
2023-05-15,3.63,3.69,3.6,3.67,3.67,113181
2023-05-16,3.675,3.675,3.6,3.64,3.64,15035
2023-05-17,3.64,3.65,3.55,3.63,3.63,31941
2023-05-18,3.63,3.65,3.59,3.62,3.62,27698
2023-05-19,3.6,3.65,3.575,3.61,3.61,13373
2023-05-22,3.61,3.69,3.55,3.69,3.69,76803
2023-05-23,3.69,3.75,3.63,3.67,3.67,22824
2023-05-24,3.7,3.71,3.55,3.7,3.7,32321
2023-05-25,3.66,3.71,3.65,3.69,3.69,39734
2023-05-26,3.69,3.69,3.65,3.685,3.685,21979
2023-05-29,3.61,3.685,3.61,3.68,3.68,21719
2023-05-30,3.69,3.69,3.61,3.655,3.655,13460
2023-05-31,3.68,3.68,3.575,3.575,3.575,18802
2023-06-01,3.58,3.63,3.53,3.555,3.555,31161
2023-06-02,3.56,3.65,3.56,3.63,3.63,20507
2023-06-05,3.64,3.69,3.62,3.665,3.665,18445
2023-06-06,3.665,3.67,3.6,3.6,3.6,34811
2023-06-07,3.605,3.65,3.605,3.64,3.64,12327
2023-06-09,3.64,3.66,3.6,3.645,3.645,22138
2023-06-12,3.645,3.65,3.61,3.61,3.61,20192
2023-06-13,3.615,3.65,3.61,3.63,3.63,12136
2023-06-14,3.62,3.635,3.55,3.6,3.6,27219
2023-06-15,3.59,3.65,3.555,3.64,3.64,20234
2023-06-16,3.64,3.645,3.58,3.615,3.615,16108
2023-06-19,3.62,3.68,3.62,3.64,3.64,20465
2023-06-20,3.62,3.65,3.6,3.615,3.615,20679
2023-06-21,3.615,3.64,3.6,3.62,3.62,18402
2023-06-22,3.64,3.64,3.575,3.585,3.585,32189
2023-06-23,3.595,3.62,3.595,3.605,3.605,4495
2023-06-26,3.615,3.65,3.605,3.645,3.645,27414
2023-06-27,3.6,3.64,3.6,3.605,3.605,6624
2023-06-28,3.625,3.63,3.605,3.625,3.625,11622
2023-06-29,3.62,3.63,3.58,3.62,3.62,8731
2023-06-30,3.62,3.65,3.585,3.63,3.63,26556
2023-07-03,3.65,3.65,3.63,3.63,3.63,21765
2023-07-04,3.63,3.65,3.625,3.65,3.65,16216
2023-07-05,3.63,3.65,3.585,3.615,3.615,24612
2023-07-06,3.61,3.65,3.44,3.625,3.625,91043
2023-07-07,3.625,3.65,3.6,3.61,3.61,20916
2023-07-10,3.61,3.61,3.55,3.58,3.58,15850
2023-07-11,3.575,3.605,3.55,3.585,3.585,33264
2023-07-12,3.605,3.63,3.56,3.615,3.615,20184
2023-07-13,3.615,3.64,3.6,3.635,3.635,13789
2023-07-14,3.64,3.78,3.64,3.71,3.71,165177
2023-07-17,3.75,3.77,3.705,3.76,3.76,54746
2023-07-18,3.77,3.77,3.69,3.76,3.76,19094
2023-07-19,3.76,3.86,3.71,3.79,3.79,99215
2023-07-20,3.79,3.83,3.74,3.8,3.8,18802
2023-07-21,3.8,3.81,3.7,3.805,3.805,17266
2023-07-24,3.8,3.81,3.71,3.8,3.8,16363
2023-07-25,3.79,3.79,3.74,3.77,3.77,21183
2023-07-26,3.77,3.79,3.75,3.75,3.75,6928
2023-07-27,3.72,3.755,3.695,3.755,3.755,31832
2023-07-28,3.75,3.755,3.705,3.755,3.755,13656
2023-07-31,3.7,3.75,3.7,3.75,3.75,23277
2023-08-01,3.72,3.72,3.695,3.715,3.715,11781
2023-08-02,3.71,3.74,3.66,3.695,3.695,26875
2023-08-03,3.72,3.73,3.66,3.705,3.705,16795
2023-08-04,3.7,3.73,3.69,3.7,3.7,14094
2023-08-07,3.715,3.73,3.66,3.7,3.7,14352
2023-08-08,3.665,3.72,3.665,3.675,3.675,24837
2023-08-09,3.67,3.705,3.67,3.7,3.7,128741
2023-08-10,3.71,3.73,3.69,3.72,3.72,30940
2023-08-11,3.7,3.735,3.695,3.735,3.735,17941
2023-08-14,3.74,3.94,3.72,3.915,3.915,178588
2023-08-16,3.92,4.04,3.84,3.945,3.945,192730
2023-08-17,4.1,4.1,3.92,3.93,3.93,168254
2023-08-18,3.93,3.99,3.85,3.915,3.915,42700
2023-08-21,3.9,4.0,3.76,3.965,3.965,123500
2023-08-22,3.965,3.99,3.9,3.96,3.96,47734
2023-08-23,3.95,3.98,3.9,3.95,3.95,40804
2023-08-24,3.9,3.98,3.86,3.93,3.93,31961
2023-08-25,3.92,4.0,3.92,3.97,3.97,31720
2023-08-28,3.97,3.97,3.91,3.91,3.91,24824
2023-08-29,3.905,3.945,3.9,3.9,3.9,19583
2023-08-30,3.965,3.97,3.86,3.93,3.93,32406
