Date,Open,High,Low,Close,Adjusted_close,Volume
2023-02-27,14.6,14.92,14.6,14.79,14.79,57691
2023-02-28,14.71,15.01,14.68,14.94,14.94,79857
2023-03-01,14.78,14.96,14.71,14.84,14.84,60412
2023-03-02,14.8,14.87,14.6,14.8,14.8,57793
2023-03-03,14.88,15.1,14.6,14.75,14.75,73228
2023-03-06,14.8,15.35,14.75,15.2,15.2,232759
2023-03-07,15.21,15.25,14.83,14.84,14.84,136504
2023-03-08,14.88,15.02,14.8,14.81,14.81,65239
2023-03-09,15.0,15.0,14.7,14.93,14.93,75016
2023-03-10,14.76,14.77,14.36,14.5,14.5,120433
2023-03-13,14.4,14.62,14.14,14.44,14.44,153016
2023-03-14,14.44,14.59,14.21,14.59,14.59,167964
2023-03-15,14.45,14.6,13.98,14.25,14.25,208962
2023-03-16,14.15,14.38,13.77,14.15,14.15,189065
2023-03-17,14.17,14.28,13.41,13.41,13.41,626392
2023-03-20,13.3,13.84,13.14,13.67,13.67,142246
2023-03-21,13.64,14.05,13.64,13.98,13.98,72618
2023-03-22,13.99,14.1,13.74,13.8,13.8,95521
2023-03-23,13.95,13.95,13.26,13.33,13.33,124342
2023-03-24,13.36,13.48,13.18,13.25,13.25,137139
2023-03-27,13.25,13.75,13.25,13.61,13.61,164082
2023-03-28,14.65,16.11,14.5,15.99,15.99,1659926
2023-03-29,15.97,17.87,15.96,17.2,17.2,1875470
2023-03-30,17.66,18.7,17.6,18.5,18.5,2065387
2023-03-31,18.6,18.7,17.7,18.66,18.66,932586
2023-04-03,18.6,18.8,17.74,18.5,18.5,1054024
2023-04-04,18.45,19.38,18.41,19.0,19.0,575264
2023-04-05,19.04,19.05,18.62,18.84,18.84,357453
2023-04-06,18.63,19.2,18.62,18.8,18.8,219319
2023-04-11,18.76,19.0,18.54,18.62,18.62,219340
2023-04-12,18.58,18.94,18.55,18.76,18.76,307108
2023-04-13,18.8,19.17,18.68,18.75,18.75,168423
2023-04-14,18.72,18.83,18.43,18.59,18.59,108429
2023-04-17,18.51,18.65,18.14,18.47,18.47,114843
2023-04-18,18.43,18.71,18.35,18.44,18.44,97731
2023-04-19,18.21,18.29,17.65,17.79,17.79,208630
2023-04-20,17.85,18.52,17.85,18.47,18.47,240844
2023-04-21,18.19,18.68,17.85,18.65,18.65,257141
2023-04-24,18.45,18.54,18.05,18.21,18.21,86728
2023-04-25,18.2,18.2,17.7,17.79,17.79,285689
2023-04-26,17.72,18.81,17.72,18.21,18.21,537456
2023-04-27,18.12,19.07,18.12,18.97,18.97,181295
2023-04-28,18.94,18.98,18.34,18.97,18.97,158738
2023-05-02,18.97,19.18,18.64,18.64,18.64,91604
2023-05-04,18.7,18.91,17.95,17.99,17.99,90444
2023-05-05,17.99,18.49,17.7,18.35,18.35,121388
2023-05-08,18.57,19.5,18.35,19.24,19.24,283056
2023-05-09,19.24,19.38,18.88,19.1,19.1,101065
2023-05-10,19.1,19.24,18.89,19.1,19.1,109472
2023-05-11,18.99,19.6,18.97,19.48,19.48,176315
2023-05-12,18.97,18.99,17.08,17.45,17.45,1149104
2023-05-15,17.3,18.49,17.3,18.37,18.37,523148
2023-05-16,18.44,18.8,18.01,18.04,18.04,172648
2023-05-17,18.2,18.54,17.73,17.96,17.96,224148
2023-05-18,18.0,18.26,17.46,17.6,17.6,356551
2023-05-19,17.6,18.16,17.54,18.12,18.12,123145
2023-05-22,18.18,18.4,18.07,18.34,18.34,110650
2023-05-23,18.21,18.4,17.54,17.61,17.61,156476
2023-05-24,17.6,17.7,17.41,17.55,17.55,68079
2023-05-25,17.61,17.63,16.86,17.1,17.1,156402
2023-05-26,17.1,17.3,16.82,17.14,17.14,91590
2023-05-29,17.14,17.18,16.85,17.03,17.03,54960
2023-05-30,17.02,17.59,16.57,17.18,17.18,270015
2023-05-31,17.27,17.27,16.45,16.68,16.68,300354
2023-06-01,16.9,17.82,16.8,17.82,17.82,269785
2023-06-02,17.78,18.29,17.67,18.26,18.26,207683
2023-06-05,18.33,18.48,17.84,18.12,18.12,114441
2023-06-06,17.9,18.26,17.9,18.15,18.15,262811
2023-06-07,18.02,18.07,17.73,17.96,17.96,70853
2023-06-09,18.06,18.06,17.65,18.05,18.05,100635
2023-06-12,18.05,18.12,17.62,17.62,17.62,46902
2023-06-13,17.65,17.84,17.42,17.49,17.49,82759
2023-06-14,17.4,17.84,17.15,17.42,17.42,132903
2023-06-15,17.44,17.98,17.3,17.82,17.82,94765
2023-06-16,18.0,18.0,17.51,17.8,17.8,204913
2023-06-19,17.81,18.31,17.71,17.85,17.85,110049
2023-06-20,18.0,18.12,17.67,17.85,17.85,289787
2023-06-21,17.8,18.05,17.75,17.99,17.99,81698
2023-06-22,17.99,18.45,17.7,18.2,18.2,213086
2023-06-23,17.94,18.26,17.85,18.16,18.16,233036
2023-06-26,18.2,18.24,17.85,17.97,17.97,95663
2023-06-27,18.0,18.15,17.76,17.95,17.95,75211
2023-06-28,17.95,18.1,17.78,18.0,18.0,108533
2023-06-29,17.72,17.79,16.9,17.0,17.0,493111
2023-06-30,16.8,17.38,16.6,17.15,17.15,201103
2023-07-03,17.19,17.26,16.9,17.11,17.11,145487
2023-07-04,17.0,17.1,16.75,16.95,16.95,131194
2023-07-05,17.03,17.12,16.82,16.85,16.85,125271
2023-07-06,16.85,17.11,16.64,17.02,17.02,312156
2023-07-07,17.07,17.07,16.25,16.5,16.5,211028
2023-07-10,16.4,16.82,16.38,16.73,16.73,93352
2023-07-11,16.66,17.04,16.66,16.86,16.86,168967
2023-07-12,16.95,17.58,16.87,17.51,17.51,151716
2023-07-13,17.41,17.58,16.93,17.2,17.2,183380
2023-07-14,17.08,17.74,17.08,17.36,17.36,250716
2023-07-17,17.49,17.92,17.43,17.64,17.64,179933
2023-07-18,17.79,17.96,17.68,17.8,17.8,147306
2023-07-19,17.94,17.96,17.57,17.74,17.74,110894
2023-07-20,17.78,18.08,17.62,17.7,17.7,82104
2023-07-21,17.69,17.9,17.52,17.73,17.73,66083
2023-07-24,17.78,17.85,17.58,17.73,17.73,39417
2023-07-25,17.79,17.86,17.41,17.59,17.59,112547
2023-07-26,17.69,17.75,17.41,17.54,17.54,27835
2023-07-27,17.58,17.68,17.06,17.2,17.2,96419
2023-07-28,17.2,17.22,16.71,16.83,16.83,118386
2023-07-31,16.85,17.42,16.85,17.32,17.32,153460
2023-08-01,17.36,17.37,16.93,17.19,17.19,98306
2023-08-02,17.0,17.03,16.84,16.85,16.85,60797
2023-08-03,16.8,16.83,16.4,16.46,16.46,90891
2023-08-04,16.46,16.87,16.36,16.38,16.38,96772
2023-08-07,16.35,16.46,16.17,16.36,16.36,104622
2023-08-08,16.38,16.38,16.02,16.27,16.27,66962
2023-08-09,16.4,16.4,16.11,16.38,16.38,75379
2023-08-10,16.2,16.65,16.2,16.53,16.53,70920
2023-08-11,16.53,16.54,16.27,16.39,16.39,46594
2023-08-14,16.2,16.47,16.2,16.25,16.25,62169
2023-08-16,16.25,16.37,15.8,16.25,16.25,227387
2023-08-17,16.23,16.44,16.15,16.44,16.44,104690
2023-08-18,16.37,16.48,15.6,16.15,16.15,297958
2023-08-21,16.12,16.41,16.06,16.2,16.2,45854
2023-08-22,16.08,16.25,15.9,16.14,16.14,33084
2023-08-23,15.93,16.08,15.69,15.85,15.85,73931
2023-08-24,15.99,16.23,15.95,16.12,16.12,30269
2023-08-25,15.93,16.19,15.84,15.92,15.92,57007
2023-08-28,15.94,16.46,15.94,16.32,16.32,84162
2023-08-29,16.55,17.21,15.76,15.8,15.8,261259
2023-08-30,15.98,16.18,15.81,15.81,15.81,76218
